Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Culiacán,0,12,7,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
,Guadalajara,418,791,433,514,516,532,373,260,426,278,303,954,537,608,896,858,1159,1219,1597,1408,1367,1600,1684,1960,2274,2669,3091,2841
,Hermosillo,0,8,9,0,2,0,3,5,0,0,0,0,13,2,0,1,0,0,0,1,2,8,47,0,0,0,0,32
,Huatulco,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,La Paz,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,León,7,43,71,66,17,6,22,76,102,115,105,344,255,148,153,156,140,132,110,120,193,302,405,377,453,876,1166,1184
,Manzanillo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Matamoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Mazatlán,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,2,0,1
,Mérida,2065,1687,1572,1383,1148,892,875,1068,1000,914,877,683,905,634,875,1079,907,641,645,426,428,387,403,267,321,509,387,462
,Mexicali,3,7,6,0,0,0,0,0,6,44,38,198,25,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0
,México,4882,5097,5317,5641,6203,6607,7191,7414,7164,7979,9071,9944,10588,8956,9498,10818,10734,9885,9353,10651,13516,13599,14098,14483,15602,16511,16918,16571
,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,Monterrey,264,676,638,506,522,596,1048,1272,1487,1337,1362,2075,2630,2019,1789,2870,2567,2251,2630,2220,3435,2841,3097,3675,3890,4274,4815,5299
,Morelia,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,2,39,27,0,1,2,0,0
,Nuevo Laredo,1,0,6,6,4,0,2,3,2,0,0,1,2,2,0,3,2,3,1,0,0,0,0,0,0,14,3,0
