"aeropuerto",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"   Charters",0,0,0,0,0,0,0,30,85,18,0,0,0,3,4,1,0,1,7,34,13,17,37,6,0,0,8,2,4,2,0,9,0,0
"         Charters Nacionales",0,0,0,0,0,0,0,30,85,18,0,0,0,3,4,1,0,1,5,30,11,12,30,6,0,0,8,2,4,2,0,9,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,7,0,0,0,0,0,0,0,0,0,0,0
"Cancún, Q. Roo.",8749,9941,8766,10540,19106,21175,2035269,28423,25809,28079,30456,33658,34744,34251,36826,34811,35727,37680,42143,39242,39915,46474,49667,45469,48216,48620,52452,56993,61872,68441,73445,77690,82366,80604
"   Nacionales",,,2293,2721,7557,9398,640212,13384,11668,11089,12157,12612,12621,13598,13416,12243,13448,13630,14326,11742,13801,17432,18456,15754,16803,17012,20535,21826,22923,24068,25964,28446,31038,31075
"   Internacionales",,,6473,7819,11549,11777,1395057,15039,14141,16990,18299,21046,22123,20653,23410,22568,22279,24050,27817,27500,26114,29042,31211,29715,31413,31608,31917,35167,38949,44373,47481,49244,51328,49529
"   Regulares",7595,8623,7573,8989,16928,19108,1781898,20923,16765,18543,20740,25181,25257,23808,25039,24293,27550,28114,32456,30711,31984,37548,42008,39351,43490,43589,47836,52868,58932,64790,70826,76370,80902,79633
"          Nacionales Regulares",3274,3154,2100,2458,7205,9097,609894,12116,9212,9551,9983,11041,10843,11652,11237,10591,12804,12698,13581,10963,12315,14711,16032,13881,15598,15145,18890,20466,22487,23498,25727,28413,30638,31015
"          Internacionales Regulares",4321,5469,5473,6531,9723,10011,1172004,8807,7553,8992,10757,14140,14414,12156,13802,13702,14746,15416,18875,19748,19669,22837,25976,25470,27892,28444,28946,32402,36445,41292,45099,47957,50264,48618
"   Charters",1154,1318,1193,1551,2178,2067,253371,7500,9044,9536,9716,8477,9487,10443,11787,10518,8177,9566,9687,8531,7931,8926,7659,6118,4726,5031,4616,4125,2940,3651,2619,1320,1464,971
"         Charters Nacionales",0,0,193,263,352,301,30318,1268,2456,1538,2174,1571,1778,1946,2179,1652,644,932,745,779,1486,2721,2424,1873,1205,1867,1645,1360,436,570,237,33,400,60
"         Charters Internacionales",0,0,1000,1288,1826,1766,223053,6232,6588,7998,7542,6906,7709,8497,9608,8866,7533,8634,8942,7752,6445,6205,5235,4245,3521,3164,2971,2765,2504,3081,2382,1287,1064,911
"Ciudad del Carmen, Camp.",395,300,242,411,704,846,42318,2003,1594,1175,1099,1009,1028,2048,2667,2519,2469,2656,3303,3292,3904,4208,3468,2680,2285,1983,2293,2448,2605,2955,2960,2085,206039,210863
"   Nacionales",,,242,411,704,844,42316,2003,1594,1175,1099,1009,1028,2048,2648,2519,2458,2570,2755,2594,3258,3674,2927,2153,1870,1580,1866,2022,2142,2514,2633,1985,139718,146866
"   Internacionales",,,0,0,0,2,2,0,0,0,0,0,0,0,19,0,11,86,548,698,646,534,541,527,415,403,427,426,463,441,327,100,66321,63997
"   Regulares",395,300,242,411,704,846,42318,1620,1448,1175,1099,1009,977,2048,2380,2221,2159,2266,3068,3142,3732,3987,3285,2500,2230,1948,2240,2351,2505,2879,2948,2070,206039,210863
"          Nacionales Regulares",395,300,242,411,704,844,42316,1620,1448,1175,1099,1009,977,2048,2380,2221,2159,2266,2703,2562,3205,3629,2923,2137,1868,1580,1866,1987,2142,2513,2633,1985,139718,146866
"          Internacionales Regulares",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,365,580,527,358,362,363,362,368,374,364,363,366,315,85,66321,63997
"   Charters",0,0,0,0,0,0,0,383,146,0,0,0,51,0,287,298,310,390,235,150,172,221,183,180,55,35,53,97,100,76,12,15,0,0
"         Charters Nacionales",0,0,0,0,0,0,0,383,146,0,0,0,51,0,268,298,299,304,52,32,53,45,4,16,2,0,0,35,0,1,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,86,183,118,119,176,179,164,53,35,53,62,100,75,12,15,0,0
"Ciudad Juárez, Chih.",2009,2086,1113,1174,1806,1559,162986,4114,4659,4950,4872,4869,5073,5555,5443,6154,6350,5880,6358,7088,7046,8873,8307,5309,5185,4934,5168,5221,5187,4960,6516,5899,1832,2031
"   Nacionales",,,1113,1162,1680,1558,162986,3897,4509,4950,4872,4869,5073,5555,5443,6153,6350,5878,6356,7082,7044,8870,8307,5308,5185,4934,5168,5221,5187,4960,6491,5899,1832,2030
"   Internacionales",,,0,12,126,1,0,217,150,0,0,0,0,0,0,1,0,2,2,6,2,3,0,1,0,0,0,0,0,0,25,0,0,1
"   Regulares",2009,2086,1113,1165,1795,1559,162986,4051,4610,4950,4792,4842,5048,5506,5265,6109,6297,5838,6344,7024,6988,8873,8307,5309,4984,4934,5139,5193,5158,4932,6490,5876,1832,2031
"          Nacionales Regulares",2009,2085,1113,1153,1675,1558,162986,3834,4460,4950,4792,4842,5048,5506,5265,6108,6297,5836,6342,7018,6986,8870,8307,5308,4984,4934,5139,5193,5158,4932,6465,5876,1832,2030
"          Internacionales Regulares",0,1,0,12,120,1,0,217,150,0,0,0,0,0,0,1,0,2,2,6,2,3,0,1,0,0,0,0,0,0,25,0,0,1
"   Charters",0,0,0,9,11,0,0,63,49,0,80,27,25,49,178,45,53,42,14,64,58,0,0,0,201,0,29,28,29,28,26,23,0,0
"         Charters Nacionales",0,0,0,9,5,0,0,63,49,0,80,27,25,49,178,45,53,42,14,64,58,0,0,0,201,0,29,28,29,28,26,23,0,0
"         Charters Internacionales",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciudad Obregón, Son.",1812,1822,1277,1271,1413,2020,68785,2108,3471,4696,4674,3185,3428,3502,3824,3739,3363,2544,2598,2746,3375,3553,2763,1961,2009,1842,1675,1655,1617,1376,1354,1367,7306,7777
"   Nacionales",,,1277,1271,1413,2019,68785,2108,3262,3928,3849,2966,3428,3502,3823,3739,3363,2544,2597,2746,3375,3553,2763,1961,2009,1842,1675,1655,1617,1376,1354,1367,7306,7777
"   Internacionales",,,0,0,0,1,0,0,209,768,825,219,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",1812,1822,1277,1271,1393,2020,68668,2108,3469,4696,4674,3185,3426,3501,3822,3738,3363,2539,2573,2738,3375,3448,2506,1961,2004,1842,1675,1655,1617,1376,1354,1367,7306,7777
