estado,vuelos,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Colima, Col.",Total Estado,0.0,0.0,461,706,714,702,28354,1309,1413,1368,1343,1300,1345,1324,1342,1225,1213,1119,1098,1158,1544,2180,1752,1142,943,1115,1390,1392,1675,1532,1647,1328,897,766
"Colima, Col.",   Nacionales,,,461,706,714,702,28354,1309,1413,1368,1343,1300,1345,1324,1342,1225,1213,1119,1098,1158,1544,2180,1752,1142,943,1115,1390,1392,1675,1532,1647,1328,897,766
"Colima, Col.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comitán, Chis.",Total Estado,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,364,229,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1377,1373
"Comitán, Chis.",   Nacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,360,364,229,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1377,1373
"Comitán, Chis.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cozumel, Q. Roo.",Total Estado,2724.0,3074.0,2341,2791,2797,3877,241310,8489,6079,5451,5850,5891,5928,4220,4676,4213,3873,3150,3864,3036,1866,2785,2805,1926,1726,1756,3598,3690,3988,4176,4422,4298,0,0
"Cozumel, Q. Roo.",   Nacionales,,,790,1045,678,1812,148708,6678,4651,4031,4356,4357,4256,3240,3061,2610,2488,1585,1765,1067,436,471,605,320,66,140,2042,2102,2067,2335,2683,2493,0,0
"Cozumel, Q. Roo.",   Internacionales,,,1551,1746,2119,2065,92602,1811,1428,1420,1494,1534,1672,980,1615,1603,1385,1565,2099,1969,1430,2314,2200,1606,1660,1616,1556,1588,1921,1841,1739,1805,0,0
"Cuernavaca, Mor.",Total Estado,0.0,0.0,0,0,0,0,0,0,402,453,456,914,839,933,1331,1468,1380,851,318,30,233,808,771,0,41,152,199,131,2,0,357,74,4286,2930
"Cuernavaca, Mor.",   Nacionales,,,0,0,0,0,0,0,402,453,456,914,839,933,1331,1468,1380,851,318,30,233,808,771,0,41,151,199,131,2,0,357,74,2467,1568
"Cuernavaca, Mor.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1819,1362
"Culiacán, Sin.",Total Estado,1706.0,1647.0,1871,2254,2849,4739,230463,8520,7627,8557,7799,9051,9964,9710,8762,8596,8344,8824,9049,9183,9610,11792,10530,9414,8957,8402,7974,8500,8193,7928,8511,8430,0,5
"Culiacán, Sin.",   Nacionales,,,1871,2254,2847,4701,219322,8151,7314,8171,7397,8684,9608,9385,8421,8282,8148,8645,8826,8782,9523,11444,10364,9385,8953,8397,7946,8475,8187,7926,8445,8354,0,5
"Culiacán, Sin.",   Internacionales,,,0,0,2,38,11141,369,313,386,402,367,356,325,341,314,196,179,223,401,87,348,166,29,4,5,28,25,6,2,66,76,0,0
"Chetumal, Q. Roo.",Total Estado,361.0,362.0,82,30,32,366,14935,1425,463,372,319,655,1217,1163,925,706,375,538,686,760,667,708,784,656,515,515,831,654,609,686,818,1194,10267,10406
"Chetumal, Q. Roo.",   Nacionales,,,82,30,32,310,14290,1425,463,349,319,585,908,973,906,695,375,538,686,755,665,708,784,656,515,515,831,654,609,686,818,1125,10219,10353
