Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acapulco,Villahermosa,16,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,117,852,0,0,0,0,0,0,0,0,0,0,0,0,0
Acapulco,Zihuatanejo,152,0,0,0,57,0,11,2366,3017,2524,1763,2329,2733,944,0,3837,3637,2215,78,0,18,84,2234,3134,2922,0,0,0
Aguascalientes,Total,121335,152942,203233,162650,136662,146089,168099,179131,164671,138405,131870,134466,130750,118563,127070,171860,162633,109696,110842,117940,133750,162882,205992,246884,275330,297724,347936,326947
Aguascalientes,Acapulco,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,219,0,0,22,50,0,0,0,0,0,0,0
Aguascalientes,Cancún,0,1043,471,598,244,0,0,0,0,88,260,100,360,332,225,319,541,94,373,629,10492,14930,20106,15357,22388,31308,57452,29995
Aguascalientes,Chihuahua,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,45,37,0,0,0,0
Aguascalientes,Ciudad del Carmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
Aguascalientes,Ciudad Juárez,0,71,2686,1095,0,0,0,0,0,0,0,0,0,0,0,3210,2396,0,0,0,0,0,0,0,160,35,0,0
Aguascalientes,Ciudad Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,106,0,28,0,0,0,0
Aguascalientes,Cuernavaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
Aguascalientes,Culiacán,0,0,0,978,5582,2452,1681,2356,2565,2499,2692,665,62,79,1712,277,109,0,0,31,70,39,0,113,0,0,0,0
Aguascalientes,Durango,0,0,121,74,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,81,0,0,0
Aguascalientes,Guadalajara,4865,5958,3975,109,0,23,0,13,2,0,87,50,59,0,31,0,0,59,21,0,8,183,86,125,178,80,45,24
Aguascalientes,Hermosillo,0,245,0,0,0,0,0,0,0,0,0,40,104,117,212,39,0,50,62,0,0,31,0,15,37,22,0,0
Aguascalientes,Huatulco,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Jalapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Lagos de Moreno,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,León,0,94,85,24,69,0,0,0,15,20,21,307,1179,0,22,0,0,0,31,94,38,0,0,40,78,50,15,12
Aguascalientes,Los Mochis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,29,0,0
Aguascalientes,Matamoros,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,0
Aguascalientes,Mazatlán,610,536,63,46,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,54,31,0,0,0,0,0
Aguascalientes,Mérida,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Mexicali,0,0,0,0,0,0,0,0,0,0,93,0,125,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,México,67459,82753,109086,77589,69565,81466,88720,95696,100086,85649,81669,88382,84674,80805,82423,100647,95369,79067,78223,81602,88290,107241,129025,150664,158392,168219,173680,201213
Aguascalientes,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Monterrey,3172,4025,4340,3463,310,62,20,1795,3924,1669,221,322,2147,148,210,5201,3997,261,383,74,0,0,11303,15940,9882,6239,18549,734
Aguascalientes,Morelia,0,0,0,0,0,0,0,0,127,0,0,0,0,98,0,33,31,0,0,0,0,0,0,66,0,0,0,0
Aguascalientes,Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,238,58,112,21,0,0
Aguascalientes,Pachuca,0,0,0,0,0,0,0,0,0,0,0,70,73,83,65,0,0,34,0,38,0,0,0,0,0,0,0,0
Aguascalientes,Puebla,0,0,0,0,0,0,0,0,0,0,0,33,152,0,0,0,163,68,32,39,36,0,0,89,0,28,0,0
Aguascalientes,Puerto Vallarta,3561,3907,4136,3428,1719,1845,2632,3136,2115,195,0,0,0,192,111,4314,6570,0,0,0,0,0,1404,3991,6637,6658,22316,9624
Aguascalientes,Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,175,81,60,0,0,0
Aguascalientes,Reynosa,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Saltillo,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
Aguascalientes,San Cristóbal de las Casas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,San José Del Cabo,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,San Luis Potosí,0,400,0,289,3505,3929,4064,2888,537,1352,1601,879,448,85,93,0,0,98,0,0,0,42,121,17,134,50,0,0
Aguascalientes,Tampico,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,66,73,0,0,0,30,46,0
Aguascalientes,Tapachula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,36,28,0,0
Aguascalientes,Tepic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,37,138,0,0
Aguascalientes,Tijuana,41668,53910,78234,74861,55641,56037,70969,72197,55282,46753,45226,43224,40331,36437,41532,49444,48496,29721,31472,35329,34381,39813,43226,59647,76487,84532,75701,85345
Aguascalientes,Toluca,0,0,0,0,0,0,0,0,0,0,0,45,437,31,74,8220,4201,36,92,0,133,200,35,200,172,92,65,0
Aguascalientes,Torreón,0,0,2,26,0,0,0,0,8,6,0,54,71,64,32,63,99,32,37,49,123,35,88,231,247,97,67,0
Aguascalientes,Tuxtla Gutiérrez,0,0,0,0,0,0,0,0,0,0,0,51,128,0,35,60,58,34,39,0,0,0,0,0,0,0,0,0
Aguascalientes,Veracruz,0,0,0,0,0,0,0,0,0,0,0,0,165,92,105,33,201,0,0,33,25,42,0,25,0,0,0,0
Aguascalientes,Villahermosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Zacatecas,0,0,25,25,27,21,13,9,0,0,0,0,0,0,0,0,0,37,47,0,38,48,0,15,212,68,0,0
Aguascalientes,Zihuatanejo,0,0,0,31,0,254,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Total,3027,2138,1912,2076,1196,3668,3805,3335,2278,1245,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Celaya,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Guadalajara,2860,2138,1771,2030,1090,3549,3805,3316,2278,1245,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Lázaro Cárdenas,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Morelia,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Toluca,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Uruapan,152,0,16,28,106,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Zihuatanejo,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahía De Santa Lucia,Total,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahía De Santa Lucia,Cancún,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,Total,22276,24023,28160,22641,21781,24779,26198,30767,31090,30618,30175,27599,31296,37837,33689,37753,43549,40798,48308,52788,68806,78132,92209,88115,88436,87591,80275,82075
Campeche,Acapulco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,95,0,204,209,0,0,0,0
Campeche,Cancún,0,0,0,171,147,0,0,464,517,1,0,0,0,37,0,96,824,0,0,0,0,70,0,0,344,0,0,0
Campeche,Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,118,0,0,0,0,0,0
Campeche,Ciudad del Carmen,0,0,44,0,0,0,0,60,225,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,96,0,0
Campeche,Ciudad Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
Campeche,Cozumel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Campeche,Durango,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,Guadalajara,0,0,127,130,0,0,0,0,0,0,0,25,0,24,0,0,0,0,0,0,0,0,0,124,0,0,0,0
Campeche,León,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,23,24,0,262,0,0,0,0,0
Campeche,Mazatlán,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,Mérida,30,0,0,0,0,10,58,0,0,0,0,0,0,128,0,0,156,595,635,210,0,0,0,0,99,0,0,0
Campeche,México,22246,24023,27981,22340,21634,24684,26140,30106,30029,30601,30175,27574,31241,37130,33689,37607,40350,39833,47302,52328,68413,77837,91398,87524,87819,87288,80275,82011
Campeche,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
Campeche,Monterrey,0,0,8,0,0,0,0,0,0,0,0,0,0,126,0,0,96,0,0,0,274,0,0,0,0,0,0,0
Campeche,Morelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,50,0,50,0,0,0,0
Campeche,Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
Campeche,Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,50,0,0,0
Campeche,Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,85,0,0
