centro_turístico,categoria,corredor_turístico,cuartos_disponibles_promedio,cuartos_disponibles_x,cuartos_disponibles_y,cuartos_ocupados_total_x,porcentaje_de_ocupación_total,llegada_de_turistas_total,llegada_de_turistas_nacionales,llegada_de_turistas_extranjeros,turistas_noche_total_x,turistas_noche_nacionales_x,turistas_noche_extranjeros_x,estadía_total,estadía_nacionales,estadía_extranjeros,turistas_noche_total_y,turistas_noche_nacionales_y,turistas_noche_extranjeros_y,cuartos_ocupados_total_y,densidad_total
San Sebastián del Oeste,estrellas_3,Sin Corredor Turístico,249.76164383561644,91163,91163,10104,0.11083443941072585,20956,20349,607,24858,24157,701,1.1861996564229815,1.1871345029239766,1.1548599670510709,24858,24157,701,10104,2.46021377672209
San Sebastián del Oeste,estrellas_4,Sin Corredor Turístico,3.0246575342465754,1104,1104,395,0.35778985507246375,585,564,21,851,830,21,1.4547008547008546,1.4716312056737588,1,851,830,21,395,2.1544303797468354
San Sebastián del Oeste,estrellas_5,Sin Corredor Turístico,19.317808219178083,7051,7051,1569,0.22252162813785278,2824,2354,470,3537,2968,569,1.2524787535410764,1.2608326253186066,1.2106382978723405,3537,2968,569,1569,2.254302103250478
Santiago,estrellas_5,Sin Corredor Turístico,3435.6,1253994,1253994,369418,0.2945931160755155,526455,523033,3422,1040336,1030093,10243,1.9761157173927497,1.969460817959861,2.993278784336645,1040336,1030093,10243,369418,2.8161486446247883
Sombrerete,estrellas_3,Sin Corredor Turístico,606.3232876712328,221308,221308,100608,0.45460625011296474,148575,147457,1118,183674,182489,1185,1.2362375904425373,1.237574343706979,1.0599284436493739,183674,182489,1185,100608,1.8256401081424936
Sombrerete,estrellas_4,Sin Corredor Turístico,471.586301369863,172129,172129,75913,0.4410238832503529,58037,57957,80,112522,112357,165,1.9387976635594535,1.9386269130562312,2.0625,112522,112357,165,75913,1.482249417095886
Tampico,estrellas_2,Sin Corredor Turístico,3914.4465753424656,1428773,1428773,572673,0.40081454506769093,871886,847499,24387,1161197,1130951,30246,1.331822050130407,1.3344570318077071,1.2402509533767991,1161197,1130951,30246,572673,2.027678972118469
Tampico,estrellas_3,Sin Corredor Turístico,10002.180821917807,3650796,3650796,1849173,0.506512278418186,2528361,2489942,38419,3283604,3239562,44042,1.2987085309415862,1.301059221459777,1.1463598740206669,3283604,3239562,44042,1849173,1.775714873621884
Tampico,estrellas_4,Sin Corredor Turístico,19361.4,7066911,7066911,3191538,0.451617120974072,4041767,3832781,208986,6455259,6143017,312242,1.5971378360009372,1.6027571103071112,1.494080943221077,6455259,6143017,312242,3191538,2.0226169953169912
Tampico,estrellas_5,Sin Corredor Turístico,13026.589041095891,4754705,4754705,2457980,0.5169574137617371,2986545,2842133,144412,4795864,4563077,232787,1.6058234515133707,1.605511423990362,1.6119643796914385,4795864,4563077,232787,2457980,1.9511403672934686
