Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acapulco,Zihuatanejo,2,0,0,0,9,0,2,54,70,64,56,71,56,25,0,71,70,41,2,0,1,2,115,106,87,0,0,0
Aguascalientes,Total,2858,3279,4506,5311,4823,4884,4501,4707,4145,3773,3635,2841,2618,2166,2491,2880,3098,2377,2582,2525,2971,3104,3802,3950,3943,3932,4505,3691
Aguascalientes,Acapulco,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34,0,0,1,1,0,0,0,0,0,0,0
Aguascalientes,Cancún,0,9,6,8,6,0,0,0,0,1,3,1,4,3,3,4,7,2,3,6,94,118,158,127,172,226,594,200
Aguascalientes,Chihuahua,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0
Aguascalientes,Ciudad del Carmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aguascalientes,Ciudad Juárez,0,8,90,59,0,0,0,0,0,0,0,0,0,0,0,159,105,0,0,0,0,0,1,0,2,2,0,0
Aguascalientes,Ciudad Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0
Aguascalientes,Cuernavaca,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,0
Aguascalientes,Culiacán,0,0,0,103,348,351,303,336,368,361,360,150,1,2,262,41,1,0,0,1,2,1,0,1,0,0,0,0
Aguascalientes,Durango,0,0,12,148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Aguascalientes,Guadalajara,581,756,588,4,0,4,0,2,4,0,3,2,4,0,1,0,0,2,1,0,1,4,4,4,4,2,2,2
Aguascalientes,Hermosillo,0,3,0,0,0,0,0,0,0,0,0,2,4,4,114,24,0,1,1,0,0,1,0,1,2,1,0,0
Aguascalientes,Huatulco,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Jalapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Lagos de Moreno,0,0,23,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,León,0,2,2,147,26,0,0,0,2,4,1,27,119,0,1,0,0,0,1,2,1,0,0,2,3,2,2,1
Aguascalientes,Los Mochis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Aguascalientes,Matamoros,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Aguascalientes,Mazatlán,41,9,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Aguascalientes,Mérida,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Mexicali,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,México,929,1140,1691,1889,1710,1940,1803,1847,1712,1706,1710,1486,1420,1424,1420,1711,1678,2070,2280,2195,2565,2659,2607,2560,2606,2570,2444,2495
Aguascalientes,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Monterrey,449,403,523,626,28,4,6,242,552,309,32,26,239,4,5,80,173,13,11,2,0,0,554,546,294,214,323,26
Aguascalientes,Morelia,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Aguascalientes,Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,3,1,0,0
Aguascalientes,Pachuca,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Aguascalientes,Puebla,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,2,1,1,1,0,0,2,0,1,0,0
Aguascalientes,Puerto Vallarta,128,155,156,155,156,156,155,254,288,32,0,0,0,6,4,165,270,0,0,0,0,0,90,153,209,231,611,364
Aguascalientes,Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0
Aguascalientes,Reynosa,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Saltillo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
Aguascalientes,San Cristóbal de las Casas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,San José Del Cabo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,San Luis Potosí,0,8,0,107,944,1000,969,692,116,273,445,250,100,6,4,0,0,3,0,0,0,1,2,1,3,1,0,0
Aguascalientes,Tampico,0,0,0,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0
Aguascalientes,Tapachula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Aguascalientes,Tepic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,0,0
Aguascalientes,Tijuana,730,786,1284,1506,1446,1342,1214,1270,1097,1084,1078,739,702,708,665,541,576,276,279,313,296,301,359,521,622,667,525,603
Aguascalientes,Toluca,0,0,0,0,0,0,0,0,0,0,0,1,6,1,3,149,242,1,1,0,2,4,1,8,7,4,1,0
Aguascalientes,Torreón,0,0,47,127,0,0,0,0,1,1,0,2,2,2,1,2,3,1,1,1,3,1,2,5,5,2,2,0
Aguascalientes,Tuxtla Gutiérrez,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0
Aguascalientes,Veracruz,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,0,0,1,1,1,0,2,0,0,0,0
Aguascalientes,Villahermosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aguascalientes,Zacatecas,0,0,23,210,159,83,51,46,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,5,1,0,0
Aguascalientes,Zihuatanejo,0,0,0,2,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Total,713,284,234,284,187,575,305,304,277,171,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Celaya,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Guadalajara,497,284,219,272,164,501,305,303,277,171,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Lázaro Cárdenas,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
