estado,museo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,clas_visitantes
Baja California Sur,Museo Regional de Antropología e Historia de Baja California Sur,6659.0,7706.0,7595.0,7540.0,5442.0,6875.0,7631.0,7539.0,4851.0,3340.0,2430.0,2593.0,3242.0,4080.0,2493.0,2150.0,2408.0,1992.0,1941.0,2445.0,    Visitantes Internacionales
Baja California Sur,Misión de San Francisco Javier,0.0,0.0,3031.0,4990.0,5189.0,7725.0,7271.0,14315.0,13103.0,7409.0,5962.0,5577.0,10725.0,11895.0,6742.0,13419.0,14812.0,17491.0,17951.0,17781.0,Total Visitantes
Baja California Sur,Misión de San Francisco Javier,0.0,0.0,1982.0,3184.0,2996.0,5024.0,4766.0,10795.0,8447.0,5900.0,4555.0,4111.0,8900.0,9638.0,4076.0,10249.0,11942.0,13632.0,13944.0,14276.0,    Visitantes Nacionales
Baja California Sur,Misión de San Francisco Javier,0.0,0.0,1049.0,1806.0,2193.0,2701.0,2505.0,3520.0,4656.0,1509.0,1407.0,1466.0,1825.0,2257.0,2666.0,3170.0,2870.0,3859.0,4007.0,3505.0,    Visitantes Internacionales
Campeche,Total Estado,82543.0,137038.0,147131.0,167627.0,160872.0,150370.0,152255.0,128671.0,143568.0,132307.0,145195.0,108167.0,101456.0,95902.0,64009.0,98190.0,109115.0,115582.0,148528.0,108041.0,Total Visitantes
Campeche,Total Estado,77451.0,128390.0,138492.0,156365.0,145744.0,139235.0,136641.0,117555.0,132931.0,124265.0,134832.0,98691.0,93166.0,88198.0,57696.0,88077.0,97915.0,104665.0,133998.0,97126.0,    Visitantes Nacionales
Campeche,Total Estado,5092.0,8648.0,8639.0,11262.0,15128.0,11135.0,15614.0,11116.0,10637.0,8042.0,10363.0,9476.0,8290.0,7704.0,6313.0,10113.0,11200.0,10917.0,14530.0,10915.0,    Visitantes Internacionales
Campeche,"Museo Arqueológico de Campeche, Fuerte de San Miguel",6787.0,71055.0,79142.0,88599.0,91158.0,75596.0,76421.0,65868.0,71501.0,66512.0,74695.0,52733.0,46375.0,42322.0,45154.0,40725.0,49632.0,61730.0,65812.0,5103.0,Total Visitantes
Campeche,"Museo Arqueológico de Campeche, Fuerte de San Miguel",6396.0,65482.0,73378.0,81823.0,81096.0,67404.0,66860.0,58771.0,63809.0,60742.0,69208.0,46309.0,41444.0,38258.0,39530.0,35648.0,43772.0,56032.0,58755.0,4713.0,    Visitantes Nacionales
Campeche,"Museo Arqueológico de Campeche, Fuerte de San Miguel",391.0,5573.0,5764.0,6776.0,10062.0,8192.0,9561.0,7097.0,7692.0,5770.0,5487.0,6424.0,4931.0,4064.0,5624.0,5077.0,5860.0,5698.0,7057.0,390.0,    Visitantes Internacionales
Campeche,"Museo de las Estelas Mayas, Baluarte de la Soledad",22007.0,15503.0,18196.0,32302.0,25797.0,14203.0,35462.0,23656.0,33149.0,32857.0,30094.0,23572.0,26881.0,30309.0,4948.0,27040.0,26055.0,31532.0,40431.0,51569.0,Total Visitantes
Campeche,"Museo de las Estelas Mayas, Baluarte de la Soledad",18595.0,13228.0,16162.0,28641.0,23075.0,12879.0,31255.0,20928.0,31368.0,31460.0,26462.0,21233.0,24380.0,27501.0,4454.0,23113.0,22119.0,27085.0,34091.0,43011.0,    Visitantes Nacionales
Campeche,"Museo de las Estelas Mayas, Baluarte de la Soledad",3412.0,2275.0,2034.0,3661.0,2722.0,1324.0,4207.0,2728.0,1781.0,1397.0,3632.0,2339.0,2501.0,2808.0,494.0,3927.0,3936.0,4447.0,6340.0,8558.0,    Visitantes Internacionales
Campeche,Museo del Camino Real de Hecelchakán,4298.0,2877.0,2985.0,3189.0,4378.0,16659.0,3886.0,2135.0,3107.0,4163.0,4781.0,3870.0,0.0,4695.0,3222.0,2565.0,2619.0,2348.0,2641.0,3604.0,Total Visitantes
Campeche,Museo del Camino Real de Hecelchakán,4225.0,2810.0,2912.0,3128.0,4177.0,15794.0,3502.0,1929.0,2962.0,4034.0,4633.0,3816.0,0.0,4646.0,3150.0,2479.0,2487.0,2301.0,2605.0,3517.0,    Visitantes Nacionales
Campeche,Museo del Camino Real de Hecelchakán,73.0,67.0,73.0,61.0,201.0,865.0,384.0,206.0,145.0,129.0,148.0,54.0,0.0,49.0,72.0,86.0,132.0,47.0,36.0,87.0,    Visitantes Internacionales
Campeche,"Museo Histórico Reducto San José el Alto ""Armas y Marinería""",49451.0,47603.0,46808.0,43537.0,39539.0,43912.0,36486.0,37012.0,35811.0,28775.0,35625.0,27992.0,28200.0,18576.0,10685.0,27860.0,30809.0,19972.0,39644.0,47765.0,Total Visitantes
Campeche,"Museo Histórico Reducto San José el Alto ""Armas y Marinería""",48235.0,46870.0,46040.0,42773.0,37396.0,43158.0,35024.0,35927.0,34792.0,28029.0,34529.0,27333.0,27342.0,17793.0,10562.0,26837.0,29537.0,19247.0,38547.0,45885.0,    Visitantes Nacionales
Campeche,"Museo Histórico Reducto San José el Alto ""Armas y Marinería""",1216.0,733.0,768.0,764.0,2143.0,754.0,1462.0,1085.0,1019.0,746.0,1096.0,659.0,858.0,783.0,123.0,1023.0,1272.0,725.0,1097.0,1880.0,    Visitantes Internacionales
Chiapas,Total Estado,61850.0,78705.0,96493.0,95401.0,113585.0,132233.0,103508.0,70345.0,76859.0,69803.0,48661.0,37822.0,50300.0,74357.0,62526.0,67956.0,61845.0,56409.0,66372.0,63163.0,Total Visitantes
Chiapas,Total Estado,52265.0,70040.0,87077.0,85985.0,107353.0,126203.0,97977.0,65248.0,70566.0,63482.0,40222.0,33689.0,45103.0,65163.0,53697.0,63288.0,57350.0,49627.0,58741.0,55708.0,    Visitantes Nacionales
Chiapas,Total Estado,9585.0,8665.0,9416.0,9416.0,6232.0,6030.0,5531.0,5097.0,6293.0,6321.0,8439.0,4133.0,5197.0,9194.0,8829.0,4668.0,4495.0,6782.0,7631.0,7455.0,    Visitantes Internacionales
Chiapas,Museo Arqueológico de Comitán,7735.0,7679.0,7862.0,6669.0,6186.0,7029.0,9370.0,7343.0,7353.0,7387.0,9870.0,10003.0,9270.0,10776.0,11785.0,19782.0,18763.0,10853.0,9970.0,10259.0,Total Visitantes
Chiapas,Museo Arqueológico de Comitán,7408.0,7314.0,7499.0,6318.0,5804.0,6710.0,9039.0,7037.0,6968.0,7025.0,8383.0,9549.0,8687.0,10441.0,11465.0,19259.0,18218.0,10365.0,9490.0,9585.0,    Visitantes Nacionales
Chiapas,Museo Arqueológico de Comitán,327.0,365.0,363.0,351.0,382.0,319.0,331.0,306.0,385.0,362.0,1487.0,454.0,583.0,335.0,320.0,523.0,545.0,488.0,480.0,674.0,    Visitantes Internacionales
Chiapas,Museo Arqueológico del Soconusco,12077.0,9769.0,10897.0,0.0,0.0,13347.0,10503.0,12428.0,12044.0,8553.0,15664.0,11111.0,14556.0,13435.0,8043.0,0.0,0.0,0.0,0.0,0.0,Total Visitantes
Chiapas,Museo Arqueológico del Soconusco,8882.0,8340.0,10048.0,0.0,0.0,12507.0,9615.0,10445.0,9352.0,5052.0,9562.0,7620.0,10520.0,7728.0,2790.0,0.0,0.0,0.0,0.0,0.0,    Visitantes Nacionales
Chiapas,Museo Arqueológico del Soconusco,3195.0,1429.0,849.0,0.0,0.0,840.0,888.0,1983.0,2692.0,3501.0,6102.0,3491.0,4036.0,5707.0,5253.0,0.0,0.0,0.0,0.0,0.0,    Visitantes Internacionales
Chiapas,Museo de los Altos de Chiapas,22676.0,30113.0,30564.0,36755.0,36013.0,25761.0,27229.0,26961.0,36357.0,35734.0,5472.0,0.0,4955.0,30608.0,26558.0,34408.0,30764.0,29652.0,38558.0,41429.0,Total Visitantes
Chiapas,Museo de los Altos de Chiapas,17261.0,24182.0,23347.0,28958.0,31275.0,22124.0,24038.0,24580.0,33588.0,33618.0,4903.0,0.0,4812.0,27914.0,23573.0,30509.0,26936.0,23771.0,31705.0,34873.0,    Visitantes Nacionales
Chiapas,Museo de los Altos de Chiapas,5415.0,5931.0,7217.0,7797.0,4738.0,3637.0,3191.0,2381.0,2769.0,2116.0,569.0,0.0,143.0,2694.0,2985.0,3899.0,3828.0,5881.0,6853.0,6556.0,    Visitantes Internacionales
Chiapas,Museo Regional de Chiapas,19362.0,31144.0,47170.0,51977.0,71386.0,86096.0,56406.0,23613.0,21105.0,18129.0,17655.0,16708.0,21519.0,19538.0,16140.0,13766.0,12318.0,15904.0,17844.0,11475.0,Total Visitantes
Chiapas,Museo Regional de Chiapas,18714.0,30204.0,46183.0,50709.0,70274.0,84862.0,55285.0,23186.0,20658.0,17787.0,17374.0,16520.0,21084.0,19080.0,15869.0,13520.0,12196.0,15491.0,17546.0,11250.0,    Visitantes Nacionales
Chiapas,Museo Regional de Chiapas,648.0,940.0,987.0,1268.0,1112.0,1234.0,1121.0,427.0,447.0,342.0,281.0,188.0,435.0,458.0,271.0,246.0,122.0,413.0,298.0,225.0,    Visitantes Internacionales
Chihuahua,Total Estado,33279.0,0.0,10571.0,61484.0,60613.0,80440.0,91158.0,89592.0,74503.0,60828.0,17471.0,48498.0,62345.0,48016.0,58413.0,91894.0,123985.0,119793.0,137464.0,101199.0,Total Visitantes
Chihuahua,Total Estado,31191.0,0.0,10204.0,55245.0,57315.0,76902.0,84304.0,88654.0,74056.0,60828.0,17461.0,48453.0,62338.0,47841.0,57687.0,86714.0,114398.0,109838.0,129567.0,92409.0,    Visitantes Nacionales
Chihuahua,Total Estado,2088.0,0.0,367.0,6239.0,3298.0,3538.0,6854.0,938.0,447.0,0.0,10.0,45.0,7.0,175.0,726.0,5180.0,9587.0,9955.0,7897.0,8790.0,    Visitantes Internacionales
Chihuahua,Museo de la Revolución en la Frontera,33279.0,0.0,10571.0,61484.0,60613.0,80440.0,91158.0,89592.0,74503.0,60828.0,17471.0,48498.0,62345.0,48016.0,58413.0,91894.0,123985.0,119793.0,137464.0,101199.0,Total Visitantes
Chihuahua,Museo de la Revolución en la Frontera,31191.0,0.0,10204.0,55245.0,57315.0,76902.0,84304.0,88654.0,74056.0,60828.0,17461.0,48453.0,62338.0,47841.0,57687.0,86714.0,114398.0,109838.0,129567.0,92409.0,    Visitantes Nacionales
Chihuahua,Museo de la Revolución en la Frontera,2088.0,0.0,367.0,6239.0,3298.0,3538.0,6854.0,938.0,447.0,0.0,10.0,45.0,7.0,175.0,726.0,5180.0,9587.0,9955.0,7897.0,8790.0,    Visitantes Internacionales
Coahuila,Total Estado,64864.0,117910.0,75362.0,54369.0,55362.0,49921.0,41556.0,73268.0,102262.0,111866.0,104142.0,130057.0,114651.0,322659.0,58110.0,102697.0,57074.0,69702.0,62634.0,25739.0,Total Visitantes
Coahuila,Total Estado,64506.0,117876.0,75340.0,54367.0,55301.0,49425.0,41241.0,72986.0,102106.0,111782.0,104071.0,129936.0,114574.0,322617.0,58050.0,102569.0,56918.0,69520.0,62550.0,25695.0,    Visitantes Nacionales
