museos
Museo Regional de Historia de Aguascalientes
"Museo Histórico Regional, Ex Cuartel de la Compañía Fija"
Museo de Las Misiones Jesuíticas
Museo de las Pinturas Rupestres de San Ignacio
Museo Regional de Antropología e Historia de Baja California Sur
Misión de San Francisco Javier
"Museo Arqueológico de Campeche, Fuerte de San Miguel"
"Museo de las Estelas Mayas, Baluarte de la Soledad"
Museo del Camino Real de Hecelchakán
"Museo Histórico Reducto San José el Alto ""Armas y Marinería"""
Museo Arqueológico de Comitán
Museo Arqueológico del Soconusco
Museo de los Altos de Chiapas
Museo Regional de Chiapas
Museo de la Revolución en la Frontera
Museo Regional de la Laguna
Museo Regional de Historia de Colima
"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista"
Galería de Historia
Museo Casa Carranza
Museo de El Carmen
Museo del Templo Mayor
Museo Nacional de Antropología
Museo Nacional de Historia
Museo Nacional de las Culturas
Museo Nacional de las Intervenciones
Capilla Abierta de Tlalmanalco
Capilla Abierta del Templo de Calimaya
Centro Comunitario Ecatepec Casa de Morelos
Ex-Convento de Oxtotipac
"Museo de los Murales Teotihuacanos ""Beatriz de la Fuente"""
Museo Nacional del Virreinato
Museo Prehistórico de Tepexpan
Museo Virreinal de Acolman
Casa de Hidalgo
Ex-Convento Agustino de Fray Juan de Sahagún
"Museo Casa de Hidalgo ""La Francia Chiquita"""
Museo Casa del Dr. José María Luis Mora
Museo Ex Convento Agustino de San Pablo
Museo Histórico de San Miguel de Allende
Museo Local de Valle de Santiago
Museo Regional de Guanajuato Alhóndiga de Granaditas
Museo Guillermo Spratling
"Museo Histórico de Acapulco, Fuerte de San Diego"
Museo Regional de Guerrero
Ex - convento de San Andrés Epazoyucan
"Ex - convento de San Miguel Arcángel, Ixmiquilpan"
Museo de Actopan
Museo de la Fotografía
Museo Regional de Hidalgo
Museo Tepeapulco
"Museo ""Casa Agustín Rivera"""
Museo Arqueológico de Ciudad Guzmán
Museo del Cuale
Museo Regional de Guadalajara
Museo Casa de Morelos
Museo de Artes y Oficios de Pátzcuaro
Museo de la Estampa Ex Convento de Santa María Magdalena
"Museo Regional Michoacano ""Dr. Nicolás León Calderón"""
Templo de Tupátaro
Jardín Etnobotánico y Museo de Medicina Tradicional y Herbolaria
"Museo Histórico del Oriente de Morelos ""Casa de Morelos"""
Museo Regional Cuauhnáhuac
Museo y Centro de Documentación Histórica Ex Convento de Tepoztlán
Museo Local de Antropología e Historia de Compostela
Museo Regional de Nayarit
"Museo Regional de Nuevo León ""Ex Obispado"""
Ex-Convento de Coixtlahuaca
Ex-Convento de Cuilapan
Ex-Convento de Santo Domingo Yanhuitlán
Ex-Convento de Teposcolula
Museo Casa de Juárez
Museo de las Culturas de Oaxaca
Sala Homenaje a Juárez
Casa de la Palestina
Casa del Dean
Ex-Convento de san Franciso Huaquechula
Ex-Convento de San Francisco Tecamachalco
Ex-Convento Franciscano de Tecalli
Fuerte de Guadalupe
Museo de Arte Religioso de Santa Mónica
Museo de la Evangelización
Museo de la No Intervención Fuerte de Loreto
Museo del Valle de Tehuacán
Museo Regional de Puebla
Museo de Tehuacán El Viejo
Museo de Teteles del Santo Nombre
Museo Regional de Querétaro
Museo Maya de Cancún con Z. A
Museo Regional Potosino
Museo Arqueológico de Mazatlán
Museo Regional de Sonora
Museo de Oxolotán
Museo de la Cultura Huasteca
Museo Regional de Tlaxcala
Museo Baluarte de Santiago
Museo de Sitio de El Zapotal
Museo de Sitio de Tres Zapotes con Z.A.
Museo del Fuerte de San Juan de Ulúa
Museo Local Tuxteco
Museo de Palmillas
"Museo Regional de Yucatán ""Palacio Cantón"""
"Pinacoteca del Estado ""Juan Gamboa Guzmán"""
Museo de Guadalupe
