"Estado","Museos ",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"2012 1/",2013,2014,2015,2016,"2017 2/",2018,2019
,"Museo del Camino Real de Hecelchakán",4298,2877,2985,3189,4378,16659,3886,2135,3107,4163,4781,3870,0,4695,3222,2565,2619,2348,2641,3604
,"    Visitantes Nacionales",4225,2810,2912,3128,4177,15794,3502,1929,2962,4034,4633,3816,0,4646,3150,2479,2487,2301,2605,3517
,"    Visitantes Internacionales",73,67,73,61,201,865,384,206,145,129,148,54,0,49,72,86,132,47,36,87
,"Museo Histórico Reducto San José el Alto ""Armas y Marinería""",49451,47603,46808,43537,39539,43912,36486,37012,35811,28775,35625,27992,28200,18576,10685,27860,30809,19972,39644,47765
,"    Visitantes Nacionales",48235,46870,46040,42773,37396,43158,35024,35927,34792,28029,34529,27333,27342,17793,10562,26837,29537,19247,38547,45885
,"    Visitantes Internacionales",1216,733,768,764,2143,754,1462,1085,1019,746,1096,659,858,783,123,1023,1272,725,1097,1880
,,,,,,,,,,,,,,,,,,,,,
"Chiapas",,61850,78705,96493,95401,113585,132233,103508,70345,76859,69803,48661,37822,50300,74357,62526,67956,61845,56409,66372,63163
,"    Visitantes Nacionales",52265,70040,87077,85985,107353,126203,97977,65248,70566,63482,40222,33689,45103,65163,53697,63288,57350,49627,58741,55708
,"    Visitantes Internacionales",9585,8665,9416,9416,6232,6030,5531,5097,6293,6321,8439,4133,5197,9194,8829,4668,4495,6782,7631,7455
,"Museo Arqueológico de Comitán",7735,7679,7862,6669,6186,7029,9370,7343,7353,7387,9870,10003,9270,10776,11785,19782,18763,10853,9970,10259
,"    Visitantes Nacionales",7408,7314,7499,6318,5804,6710,9039,7037,6968,7025,8383,9549,8687,10441,11465,19259,18218,10365,9490,9585
,"    Visitantes Internacionales",327,365,363,351,382,319,331,306,385,362,1487,454,583,335,320,523,545,488,480,674
,"Museo Arqueológico del Soconusco",12077,9769,10897,0,0,13347,10503,12428,12044,8553,15664,11111,14556,13435,8043,0,0,0,0,0
,"    Visitantes Nacionales",8882,8340,10048,0,0,12507,9615,10445,9352,5052,9562,7620,10520,7728,2790,0,0,0,0,0
,"    Visitantes Internacionales",3195,1429,849,0,0,840,888,1983,2692,3501,6102,3491,4036,5707,5253,0,0,0,0,0
,"Museo de los Altos de Chiapas",22676,30113,30564,36755,36013,25761,27229,26961,36357,35734,5472,0,4955,30608,26558,34408,30764,29652,38558,41429
,"    Visitantes Nacionales",17261,24182,23347,28958,31275,22124,24038,24580,33588,33618,4903,0,4812,27914,23573,30509,26936,23771,31705,34873
,"    Visitantes Internacionales",5415,5931,7217,7797,4738,3637,3191,2381,2769,2116,569,0,143,2694,2985,3899,3828,5881,6853,6556
,"Museo Regional de Chiapas",19362,31144,47170,51977,71386,86096,56406,23613,21105,18129,17655,16708,21519,19538,16140,13766,12318,15904,17844,11475
,"    Visitantes Nacionales",18714,30204,46183,50709,70274,84862,55285,23186,20658,17787,17374,16520,21084,19080,15869,13520,12196,15491,17546,11250
,"    Visitantes Internacionales",648,940,987,1268,1112,1234,1121,427,447,342,281,188,435,458,271,246,122,413,298,225
,,,,,,,,,,,,,,,,,,,,,
"Chihuahua",,33279,0,10571,61484,60613,80440,91158,89592,74503,60828,17471,48498,62345,48016,58413,91894,123985,119793,137464,101199
,"    Visitantes Nacionales",31191,0,10204,55245,57315,76902,84304,88654,74056,60828,17461,48453,62338,47841,57687,86714,114398,109838,129567,92409
,"    Visitantes Internacionales",2088,0,367,6239,3298,3538,6854,938,447,0,10,45,7,175,726,5180,9587,9955,7897,8790
,"Museo de la Revolución en la Frontera",33279,0,10571,61484,60613,80440,91158,89592,74503,60828,17471,48498,62345,48016,58413,91894,123985,119793,137464,101199
,"    Visitantes Nacionales",31191,0,10204,55245,57315,76902,84304,88654,74056,60828,17461,48453,62338,47841,57687,86714,114398,109838,129567,92409
,"    Visitantes Internacionales",2088,0,367,6239,3298,3538,6854,938,447,0,10,45,7,175,726,5180,9587,9955,7897,8790
,,,,,,,,,,,,,,,,,,,,,
"Coahuila",,64864,117910,75362,54369,55362,49921,41556,73268,102262,111866,104142,130057,114651,322659,58110,102697,57074,69702,62634,25739
,"    Visitantes Nacionales",64506,117876,75340,54367,55301,49425,41241,72986,102106,111782,104071,129936,114574,322617,58050,102569,56918,69520,62550,25695
,"    Visitantes Internacionales",358,34,22,2,61,496,315,282,156,84,71,121,77,42,60,128,156,182,84,44
,"Museo Regional de la Laguna",64864,117910,75362,54369,55362,49921,41556,73268,102262,111866,104142,130057,114651,322659,58110,102697,57074,69702,62634,25739
,"    Visitantes Nacionales",64506,117876,75340,54367,55301,49425,41241,72986,102106,111782,104071,129936,114574,322617,58050,102569,56918,69520,62550,25695
,"    Visitantes Internacionales",358,34,22,2,61,496,315,282,156,84,71,121,77,42,60,128,156,182,84,44
,,,,,,,,,,,,,,,,,,,,,
"Colima",,12817,17654,28027,27826,33477,27859,18680,17052,19475,15941,20458,17370,17244,15320,13641,12424,16569,13248,15412,21344
,"    Visitantes Nacionales",11278,15714,26215,25855,29501,23039,13876,14096,16047,13436,18379,16435,16191,14840,13136,11302,14956,11955,14797,20812
,"    Visitantes Internacionales",1539,1940,1812,1971,3976,4820,4804,2956,3428,2505,2079,935,1053,480,505,1122,1613,1293,615,532
,"Museo Regional de Historia de Colima",12817,17654,28027,27826,33477,27859,18680,17052,19475,15941,20458,17370,17244,15320,13641,12424,16569,13248,15412,21344
,"    Visitantes Nacionales",11278,15714,26215,25855,29501,23039,13876,14096,16047,13436,18379,16435,16191,14840,13136,11302,14956,11955,14797,20812
,"    Visitantes Internacionales",1539,1940,1812,1971,3976,4820,4804,2956,3428,2505,2079,935,1053,480,505,1122,1613,1293,615,532
,,,,,,,,,,,,,,,,,,,,,
"Ciudad de México",,3310800,3410684,3322964,3646270,3985986,4909183,3969214,4361367,4397628,3866079,4237243,4355363,4924346,5205009,5369799,5735355,5071444,6247205,7232707,7976428
,"    Visitantes Nacionales",2705138,2931753,2911911,3248144,3543223,4461381,3541074,3996391,4034557,3633398,3941829,4026449,4598884,4845926,4932948,5276994,4617088,5782401,6596962,7299108
,"    Visitantes Internacionales",605662,478931,411053,398126,442763,447802,428140,364976,363071,232681,295414,328914,325462,359083,436851,458361,454356,464804,635745,677320
,"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista",4340,4380,26598,12000,18632,19320,36782,63257,62942,67537,78131,109900,156681,162340,143027,141193,153885,83167,142392,161843
,"    Visitantes Nacionales",4330,4379,26513,11988,18610,19314,36773,63223,62941,67535,78131,109900,156679,162337,143027,140906,152806,82639,141744,161721
,"    Visitantes Internacionales",10,1,85,12,22,6,9,34,1,2,0,0,2,3,0,287,1079,528,648,122
,"Galería de Historia",192465,0,7535,284258,246070,290475,254917,238943,266392,258777,367139,252244,267436,273970,345854,430400,262679,296470,184796,187672
,"    Visitantes Nacionales",191702,0,7359,283395,245889,290292,254898,238943,266372,258195,366509,251822,267255,273654,345704,429536,262396,295796,183655,186702
,"    Visitantes Internacionales",763,0,176,863,181,183,19,0,20,582,630,422,181,316,150,864,283,674,1141,970
,"Museo Casa Carranza",17156,14876,16288,17315,14408,13142,22195,39768,27059,26353,31131,23384,24439,28557,25725,25557,23676,26852,25738,23543
,"    Visitantes Nacionales",17039,14744,16211,17222,14175,13030,22041,39623,26853,26046,30946,23232,24271,28283,25505,25353,23449,26664,25614,23429
,"    Visitantes Internacionales",117,132,77,93,233,112,154,145,206,307,185,152,168,274,220,204,227,188,124,114
,"Museo de El Carmen",87249,177705,60083,27445,25335,27391,48217,52113,48489,51149,63011,62869,47368,55808,48559,59261,55633,61654,63266,81156
,"    Visitantes Nacionales",82992,169006,57698,26229,23996,25773,46451,50808,46987,49308,60832,61274,46893,53986,47631,58423,54513,60397,61702,79628
,"    Visitantes Internacionales",4257,8699,2385,1216,1339,1618,1766,1305,1502,1841,2179,1595,475,1822,928,838,1120,1257,1564,1528
,"Museo del Templo Mayor",517672,558061,539165,507909,495120,502239,532588,598204,863628,630917,728888,584513,584155,642265,646367,711290,653513,801942,977275,912673
,"    Visitantes Nacionales",409390,450105,446531,445390,426515,424829,443506,543244,800633,586320,663027,522233,530784,581565,570364,638010,585990,726438,885863,791102
,"    Visitantes Internacionales",108282,107956,92634,62519,68605,77410,89082,54960,62995,44597,65861,62280,53371,60700,76003,73280,67523,75504,91412,121571
,"Museo Nacional de Antropología",1544162,1170948,1243487,1391842,1506229,2328404,1403231,1793584,1641457,1562873,1446506,1767092,2117303,2002133,2379747,1963021,1712645,2336115,2596725,3086555
,"    Visitantes Nacionales",1103003,864795,963801,1092342,1180586,2011244,1117311,1536558,1387548,1393131,1253273,1569002,1897144,1741611,2086636,1674611,1437750,2063340,2212588,2719373
,"    Visitantes Internacionales",441159,306153,279686,299500,325643,317160,285920,257026,253909,169742,193233,198090,220159,260522,293111,288410,274895,272775,384137,367182
,"Museo Nacional de Historia",545463,1003067,960979,1010099,1317697,1351951,1362886,1260619,1173015,1183785,1379047,1272534,1403647,1677915,1479382,2006072,1703992,2135465,2661615,2811646
,"    Visitantes Nacionales",501478,950231,928536,979266,1292267,1327186,1331889,1215022,1135627,1168339,1348234,1212995,1353597,1642701,1413223,1928436,1622573,2050800,2537181,2661374
,"    Visitantes Internacionales",43985,52836,32443,30833,25430,24765,30997,45597,37388,15446,30813,59539,50050,35214,66159,77636,81419,84665,124434,150272
,"Museo Nacional de las Culturas",290897,360322,345597,281504,251647,260997,194681,188675,198930,0,39774,183499,215637,219624,172708,262741,366735,369865,438913,567997
,"    Visitantes Nacionales",284985,357861,343020,279140,231089,235103,175212,183149,192164,0,37480,176820,214717,219624,172708,246307,339551,341675,407685,533558
,"    Visitantes Internacionales",5912,2461,2577,2364,20558,25894,19469,5526,6766,0,2294,6679,920,0,0,16434,27184,28190,31228,34439
,"Museo Nacional de las Intervenciones",111396,121325,123232,113898,110848,115264,113717,126204,115716,84688,103616,99328,107680,142397,128430,135820,138686,135675,141987,143343
,"    Visitantes Nacionales",110219,120632,122242,113172,110096,114610,112993,125821,115432,84524,103397,99171,107544,142165,128150,135412,138060,134652,140930,142221
,"    Visitantes Internacionales",1177,693,990,726,752,654,724,383,284,164,219,157,136,232,280,408,626,1023,1057,1122
,,,,,,,,,,,,,,,,,,,,,
"Estado de México",,440988,454194,450447,449132,531011,444683,404774,426806,416192,394078,377382,396646,532399,476967,426073,482061,490739,405006,364806,447985
,"    Visitantes Nacionales",419829,439969,433956,431577,510821,432984,394050,407090,402506,383635,364971,386248,499555,452368,415598,465592,459832,393518,350886,436522
,"    Visitantes Internacionales",21159,14225,16491,17555,20190,11699,10724,19716,13686,10443,12411,10398,32844,24599,10475,16469,30907,11488,13920,11463
,"Capilla Abierta de Tlalmanalco",1854,4878,4379,4328,9068,10448,5683,4432,2190,5181,3886,6673,12249,7647,9548,6052,6782,5862,5716,14461
,"    Visitantes Nacionales",1798,4878,4335,4202,9068,10444,5680,4425,2190,5097,3886,6663,12249,7620,9548,6041,6782,5862,5716,14461
,"    Visitantes Internacionales",56,0,44,126,0,4,3,7,0,84,0,10,0,27,0,11,0,0,0,0
,"Capilla Abierta del Templo de Calimaya",738,609,1304,1443,1387,2355,1964,2715,12910,2583,3579,4605,5150,2776,5760,7027,6247,9227,4091,8168
,"    Visitantes Nacionales",738,609,1291,1424,1386,2354,1964,2698,12862,2579,3579,4601,5148,2773,5752,7015,6247,9220,4089,8164
,"    Visitantes Internacionales",0,0,13,19,1,1,0,17,48,4,0,4,2,3,8,12,0,7,2,4
,"Centro Comunitario Ecatepec Casa de Morelos",35009,28335,27182,34127,39002,36352,36111,66908,56338,48276,27069,50258,50037,61055,37204,65191,65439,37492,13817,19702
