"Estado","Zonas Arqueológicas",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"20191/"
,"    Visitantes Nacionales",7.392,8.747,15.038,24.697,31.180,55.776,37.295,20.168,27.667,27.717,58.627,82.597,105.814,53.296,95.985,80.178,76.525,54.417,41.156,61.651
,"    Visitantes Internacionales",94,0,39,91,98,116,1.466,0,0,0,0,2,11,3,54,33,11,56,18,3
,"Z.A. de El Conde",794,1.079,1.233,1.145,695,495,1.050,782,752,519,653,850,924,1.088,1.631,2.524,2.110,2.001,2.926,5.234
,"    Visitantes Nacionales",793,1.079,1.187,1.144,688,495,1.027,782,752,519,653,850,924,1.088,1.631,2.522,2.108,1.992,2.922,5.234
,"    Visitantes Internacionales",1,0,46,1,7,0,23,0,0,0,0,0,0,0,0,2,2,9,4,0
,"Z.A. de Huamango",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.381,8.227,10.161
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.353,8.227,10.161
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
,"Z.A. de Huexotla",1.475,1.421,1.655,1.708,2.027,2.452,2.450,1.925,2.240,2.777,3.920,4.483,4.035,4.188,2.995,2.858,1.293,1.955,2.388,4.997
,"    Visitantes Nacionales",1.456,1.394,1.574,1.662,2.007,2.398,2.450,1.919,2.233,2.698,3.920,4.483,4.035,4.188,2.985,2.830,1.282,1.918,2.387,4.997
,"    Visitantes Internacionales",19,27,81,46,20,54,0,6,7,79,0,0,0,0,10,28,11,37,1,0
,"Z.A. de Los Melones",6.156,5.898,5.826,4.189,3.901,3.407,6.982,7.664,11.248,11.830,13.288,14.060,13.582,9.327,8.677,11.343,13.297,11.568,8.440,13.336
,"    Visitantes Nacionales",6.156,5.898,5.695,4.082,3.824,3.329,6.801,7.641,11.129,11.665,13.170,13.977,13.502,9.293,8.654,11.280,13.295,11.552,8.433,13.333
,"    Visitantes Internacionales",0,0,131,107,77,78,181,23,119,165,118,83,80,34,23,63,2,16,7,3
,"Z.A. de Los Reyes La Paz",4.650,6.984,5.032,6.987,7.407,9.916,9.094,3.846,10.071,13.961,12.391,9.808,8.674,11.503,14.431,13.959,20.897,27.365,15.973,17.157
,"    Visitantes Nacionales",4.634,6.941,4.782,6.655,7.134,9.695,8.935,3.775,9.873,13.375,12.259,9.803,8.673,11.503,14.429,13.946,20.886,27.303,15.959,17.147
,"    Visitantes Internacionales",16,43,250,332,273,221,159,71,198,586,132,5,1,0,2,13,11,62,14,10
,"Z.A. de Malinalco",65.394,72.358,77.310,83.248,83.121,81.929,88.662,103.764,88.228,91.326,93.891,111.904,120.276,116.338,211.859,235.743,254.386,238.635,156.767,253.913
,"    Visitantes Nacionales",63.886,70.975,75.719,79.827,80.233,79.298,87.502,101.394,85.803,88.642,91.648,109.345,117.930,114.167,206.934,231.676,249.137,234.299,153.047,251.720
,"    Visitantes Internacionales",1.508,1.383,1.591,3.421,2.888,2.631,1.160,2.370,2.425,2.684,2.243,2.559,2.346,2.171,4.925,4.067,5.249,4.336,3.720,2.193
,"Z.A. de Ocoyoacac",0,0,0,0,0,0,0,0,0,0,0,0,21,182,334,8,72,29,0,0
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,21,182,334,8,72,29,0,0
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Z.A. de San Miguel Ixtapan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.126,4.936,9.973
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.078,4.854,9.927
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,82,46
,"Z.A. de Santa Cecilia Acatitla con museo de la Escultura Mexica ""Eusebio Dávalos Hurtado""",11.187,10.577,8.649,7.939,11.830,13.588,13.409,9.893,5.975,7.899,8.567,7.666,11.935,9.682,10.277,7.034,8.522,7.840,7.582,17.082
,"    Visitantes Nacionales",10.906,10.311,8.441,7.658,11.572,13.359,13.203,9.636,5.899,7.815,8.485,7.519,11.882,9.665,10.098,6.905,8.349,7.708,7.468,17.039
,"    Visitantes Internacionales",281,266,208,281,258,229,206,257,76,84,82,147,53,17,179,129,173,132,114,43
,"Z.A. de Tenayuca con museo Xólotl",11.560,12.621,9.461,9.162,9.527,10.659,10.313,11.529,14.537,15.137,27.825,17.993,16.754,14.536,15.077,14.670,14.891,18.867,23.321,53.578
,"    Visitantes Nacionales",11.295,12.386,9.209,8.995,9.373,10.499,10.214,11.418,14.443,15.082,27.700,17.840,16.568,14.288,14.816,14.509,14.654,18.582,23.065,53.413
,"    Visitantes Internacionales",265,235,252,167,154,160,99,111,94,55,125,153,186,248,261,161,237,285,256,165
,"Z.A. de Tenayuca II",296,384,329,400,331,289,266,182,369,1.631,2.865,3.994,5.613,5.335,5.193,9.844,8.373,5.338,2.952,6.152
,"    Visitantes Nacionales",258,327,306,386,295,242,232,177,369,1.631,2.865,3.838,5.613,5.335,5.193,9.713,8.241,5.127,2.896,6.152
,"    Visitantes Internacionales",38,57,23,14,36,47,34,5,0,0,0,156,0,0,0,131,132,211,56,0
,"Z.A. de Teotenango",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.770,89.170,68.216
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.337,88.698,68.088
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,472,128
,"Z.A. de Tetzcotzinco",74.948,25.886,34.138,27.574,35.215,35.050,29.623,17.604,17.756,26.842,38.158,53.686,42.309,46.312,47.492,45.491,51.694,21.706,18.546,31.266
,"    Visitantes Nacionales",72.866,25.505,32.420,24.937,29.185,32.690,26.470,17.604,17.669,26.636,38.043,52.819,41.464,45.892,46.476,44.527,50.893,21.661,18.452,31.260
,"    Visitantes Internacionales",2.082,381,1.718,2.637,6.030,2.360,3.153,0,87,206,115,867,845,420,1.016,964,801,45,94,6
,"Z.A. de Tlapacoya",11.369,7.487,5.455,8.204,7.198,6.909,5.279,6.812,6.019,6.068,6.827,3.599,4.256,3.806,3.871,5.150,4.480,3.311,3.931,10.323
,"    Visitantes Nacionales",11.354,7.483,5.455,8.203,7.197,6.902,5.276,6.800,6.016,5.879,6.825,3.594,4.256,3.806,3.869,5.149,4.480,3.307,3.928,10.322
,"    Visitantes Internacionales",15,4,0,1,1,7,3,12,3,189,2,5,0,0,2,1,0,4,3,1
,,,,,,,,,,,,,,,,,,,,,
"Guanajuato",,0,0,0,0,0,0,31.693,31.911,31.918,34.293,21.790,39.559,79.964,76.241,68.359,74.572,81.614,79.203,76.057,74.291
,"    Visitantes Nacionales",0,0,0,0,0,0,31.107,31.509,31.333,33.815,21.790,39.559,79.149,71.614,62.416,66.669,73.013,68.529,66.158,63.754
,"    Visitantes Internacionales",0,0,0,0,0,0,586,402,585,478,0,0,815,4.627,5.943,7.903,8.601,10.674,9.899,10.537
,"Z.A. Arroyo Seco1/",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4.701
,"    Visitantes Nacionales",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4.676
,"    Visitantes Internacionales",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,25
,"Z.A El Cóporo",0,0,0,0,0,0,0,0,0,0,0,0,12.727,12.999,10.945,11.480,11.193,10.180,8.620,7.395
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,12.693,12.924,10.878,11.319,11.100,10.073,8.485,7.309
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,34,75,67,161,93,107,135,86
,"Z.A. de Cañada de la Virgen",0,0,0,0,0,0,0,0,0,0,0,6.057,22.541,21.214,21.865,23.646,26.637,28.017,28.832,29.477
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,6.057,21.994,18.655,18.149,18.465,21.316,20.753,21.801,21.515
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,547,2.559,3.716,5.181,5.321,7.264,7.031,7.962
,"Z.A. de Peralta",0,0,0,0,0,0,0,0,0,0,0,11.682,22.417,22.198,17.938,22.285,23.462,22.735,20.621,16.493
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,11.682,22.329,20.922,16.654,20.497,21.299,20.252,18.896,14.974
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,88,1.276,1.284,1.788,2.163,2.483,1.725,1.519
,"Z.A. de Plazuelas",0,0,0,0,0,0,31.693,31.911,31.918,34.293,21.790,21.820,22.279,19.830,17.611,17.161,20.322,18.271,17.984,16.225
,"    Visitantes Nacionales",0,0,0,0,0,0,31.107,31.509,31.333,33.815,21.790,21.820,22.133,19.113,16.735,16.388,19.298,17.451,16.976,15.280
,"    Visitantes Internacionales",0,0,0,0,0,0,586,402,585,478,0,0,146,717,876,773,1.024,820,1.008,945
,,,,,,,,,,,,,,,,,,,,,
"Guerrero",,14.052,12.433,15.971,21.482,23.278,23.973,23.187,21.549,17.663,29.803,46.176,35.456,163.526,90.164,29.009,28.692,31.635,29.110,25.890,30.658
,"    Visitantes Nacionales",13.877,12.335,15.722,20.891,22.634,22.578,21.380,19.912,15.567,27.029,39.991,33.199,157.379,86.424,25.497,24.408,27.806,25.380,23.646,27.424
,"    Visitantes Internacionales",175,98,249,591,644,1.395,1.807,1.637,2.096,2.774,6.185,2.257,6.147,3.740,3.512,4.284,3.829,3.730,2.244,3.234
,"Z. A. Soledad de Maciel",0,0,0,0,0,0,0,0,0,0,0,2.244,7.279,8.280,9.110,9.907,9.805,9.751,8.105,6.944
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,2.070,4.583,6.349,5.952,6.100,6.351,6.640,6.230,4.081
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,174,2.696,1.931,3.158,3.807,3.454,3.111,1.875,2.863
,"Z.A. de Cuetlajuchitlán (Los Querende)",271,233,236,219,245,207,273,221,268,228,231,328,374,449,574,494,388,400,306,273
,"    Visitantes Nacionales",259,225,233,217,245,202,270,217,264,226,231,325,373,447,568,483,386,398,306,265
,"    Visitantes Internacionales",12,8,3,2,0,5,3,4,4,2,0,3,1,2,6,11,2,2,0,8
,"Z.A. de Huamuxtitlán",1.329,1.923,2.451,3.186,4.094,3.677,4.378,3.433,2.211,732,989,851,700,457,517,661,711,1.154,1.522,1.046
,"    Visitantes Nacionales",1.329,1.923,2.449,3.186,3.988,3.673,4.374,3.429,2.211,732,989,851,700,457,517,661,711,1.152,1.507,1.020
,"    Visitantes Internacionales",0,0,2,0,106,4,4,4,0,0,0,0,0,0,0,0,0,2,15,26
,"Z.A. de Ixcateopan",1.210,1.477,1.413,1.779,1.174,1.110,1.154,1.755,1.526,955,1.407,1.530,1.046,976,958,504,819,894,1.243,4.409
,"    Visitantes Nacionales",1.202,1.477,1.413,1.589,1.068,1.084,1.103,1.664,1.206,949,1.406,1.528,1.046,975,958,501,815,882,1.223,4.369
,"    Visitantes Internacionales",8,0,0,190,106,26,51,91,320,6,1,2,0,1,0,3,4,12,20,40
,"Z.A. de La Organera Xochipala",2.585,2.244,3.987,2.781,3.487,3.524,3.384,3.673,3.219,2.953,3.400,2.913,2.278,1.701,1.560,1.814,1.017,866,905,1.418
,"    Visitantes Nacionales",2.529,2.212,3.954,2.751,3.466,3.485,3.301,3.577,3.200,2.947,3.372,2.913,2.278,1.701,1.560,1.814,1.017,863,905,1.418
,"    Visitantes Internacionales",56,32,33,30,21,39,83,96,19,6,28,0,0,0,0,0,0,3,0,0
,"Z.A. de La Sabana",2.297,1.885,849,616,817,980,650,656,509,99,144,392,779,499,577,336,339,404,469,433
,"    Visitantes Nacionales",2.297,1.885,849,614,817,980,650,656,509,99,144,392,779,499,577,336,339,404,469,433
,"    Visitantes Internacionales",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Z.A. de Los Tepoltzis",766,657,1.105,1.423,1.417,2.068,2.197,1.454,1.006,287,239,116,264,200,0,0,0,0,0,0
,"    Visitantes Nacionales",736,646,1.013,1.423,1.352,1.799,1.976,1.454,987,287,239,116,264,200,0,0,0,0,0,0
,"    Visitantes Internacionales",30,11,92,0,65,269,221,0,19,0,0,0,0,0,0,0,0,0,0,0
,"Z.A. de Palma Sola",4.802,3.407,5.178,10.655,11.133,11.685,10.303,9.076,7.663,7.586,8.496,5.166,3.906,3.046,2.888,3.437,3.048,2.623,2.351,2.222
,"    Visitantes Nacionales",4.745,3.368,5.061,10.314,10.790,10.646,8.868,7.638,5.929,6.169,6.805,4.632,3.726,2.981,2.798,3.333,2.989,2.581,2.308,2.185
,"    Visitantes Internacionales",57,39,117,341,343,1.039,1.435,1.438,1.734,1.417,1.691,534,180,65,90,104,59,42,43,37
,"Z.A. de Tehuacalco",0,0,0,0,0,0,0,0,0,15.967,29.866,20.951,145.824,73.629,11.977,10.923,14.283,12.339,10.083,12.163
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,14.631,25.405,19.410,142.554,71.888,11.719,10.567,13.975,11.781,9.799,11.906
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,1.336,4.461,1.541,3.270,1.741,258,356,308,558,284,257
,"Z.A. de Teopantecuanitlán",792,607,752,823,911,722,848,1.281,1.261,996,1.404,965,1.076,927,848,616,1.225,679,906,1.750
,"    Visitantes Nacionales",780,599,750,797,908,709,838,1.277,1.261,989,1.400,962,1.076,927,848,613,1.223,679,899,1.747
,"    Visitantes Internacionales",12,8,2,26,3,13,10,4,0,7,4,3,0,0,0,3,2,0,7,3
,,,,,,,,,,,,,,,,,,,,,
"Hidalgo",,253.443,242.237,220.172,211.380,229.055,219.975,235.010,191.188,249.582,194.615,189.494,215.246,216.652,220.450,231.894,224.900,335.613,313.110,331.905,307.401
,"    Visitantes Nacionales",234.295,229.336,210.328,195.657,216.299,207.288,224.657,184.455,239.914,187.716,183.515,210.428,210.988,215.228,225.184,218.130,326.621,301.100,322.439,300.208
,"    Visitantes Internacionales",19.148,12.901,9.844,15.723,12.756,12.687,10.353,6.733,9.668,6.899,5.979,4.818,5.664,5.222,6.710,6.770,8.992,12.010,9.466,7.193
,"Z.A Pahñú",0,0,0,0,0,0,0,0,0,0,0,0,22.316,8.650,9.438,10.359,16.696,25.492,25.668,25.395
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,22.124,8.558,9.287,10.247,16.298,24.651,25.135,24.861
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,192,92,151,112,398,841,533,534
,"Z.A. de Huapalcalco",5.056,4.827,7.925,10.803,16.129,14.348,20.290,33.059,26.389,23.350,13.049,24.627,39.569,17.784,19.588,16.465,19.773,14.544,27.443,32.279
,"    Visitantes Nacionales",4.952,4.685,7.584,10.600,15.741,14.008,19.778,32.684,26.134,22.958,12.782,24.530,39.062,17.669,19.328,16.386,19.208,12.572,26.183,31.783
,"    Visitantes Internacionales",104,142,341,203,388,340,512,375,255,392,267,97,507,115,260,79,565,1.972,1.260,496
,"Z.A. de Tepeapulco",38.122,44.296,27.234,22.200,22.846,29.443,25.587,18.563,31.050,29.440,39.622,40.379,0,34.159,19.922,15.903,20.278,19.973,18.108,23.557
,"    Visitantes Nacionales",35.945,43.480,26.794,21.879,22.415,28.915,25.058,18.282,30.302,28.725,38.996,39.840,0,33.719,19.698,15.703,20.079,19.771,17.902,23.372
,"    Visitantes Internacionales",2.177,816,440,321,431,528,529,281,748,715,626,539,0,440,224,200,199,202,206,185
,"Z.A. de Tula con museo de sitio",210.265,193.114,185.013,178.377,190.080,176.184,189.133,139.566,192.143,141.825,136.823,150.240,154.767,159.857,182.946,182.173,278.866,253.101,260.686,226.170
,"    Visitantes Nacionales",193.398,181.171,175.950,163.178,178.143,164.365,179.821,133.489,183.478,136.033,131.737,146.058,149.802,155.282,176.871,175.794,271.036,244.106,253.219,220.192
,"    Visitantes Internacionales",16.867,11.943,9.063,15.199,11.937,11.819,9.312,6.077,8.665,5.792,5.086,4.182,4.965,4.575,6.075,6.379,7.830,8.995,7.467,5.978
,,,,,,,,,,,,,,,,,,,,,
"Jalisco",,11.017,12.803,13.018,8.490,13.914,10.531,13.144,11.643,85.823,14.234,41.348,51.836,15.436,13.795,134.939,137.605,122.713,164.248,134.281,190.604
,"    Visitantes Nacionales",9.938,12.760,12.659,8.364,13.508,10.036,11.300,10.285,81.363,13.637,38.338,50.547,15.347,13.772,127.847,129.766,108.581,131.570,120.651,165.610
,"    Visitantes Internacionales",1.079,43,359,126,406,495,1.844,1.358,4.460,597,3.010,1.289,89,23,7.092,7.839,14.132,32.678,13.630,24.994
,"Z.A. de El Grillo",2.596,3.472,3.355,3.918,5.146,3.357,2.570,2.434,1.903,617,67,0,0,0,0,0,0,0,0,0
,"    Visitantes Nacionales",2.535,3.465,3.080,3.914,5.146,3.357,2.570,2.434,1.818,482,41,0,0,0,0,0,0,0,0,0
,"    Visitantes Internacionales",61,7,275,4,0,0,0,0,85,135,26,0,0,0,0,0,0,0,0,0
,"Z.A. de Ixtépete",8.421,9.331,9.663,4.572,8.768,7.174,10.574,9.209,19.396,8.967,12.531,20.986,15.436,13.795,20.449,13.701,15.965,16.044,20.619,12.529
,"    Visitantes Nacionales",7.403,9.295,9.579,4.450,8.362,6.679,8.730,7.851,18.623,8.505,12.287,20.697,15.347,13.772,20.015,13.654,15.963,15.664,20.576,12.503
,"    Visitantes Internacionales",1.018,36,84,122,406,495,1.844,1.358,773,462,244,289,89,23,434,47,2,380,43,26
,"Z.A. de Teuchitlán",0,0,0,0,0,0,0,0,64.524,4.650,28.750,30.850,0,0,114.490,123.904,106.748,148.204,113.662,178.075
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,60.922,4.650,26.010,29.850,0,0,107.832,116.112,92.618,115.906,100.075,153.107
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,3.602,0,2.740,1.000,0,0,6.658,7.792,14.130,32.298,13.587,24.968
,,,,,,,,,,,,,,,,,,,,,
"Michoacán",,83.082,86.191,73.447,93.885,113.208,106.745,94.902,93.034,91.461,73.891,78.740,63.035,61.890,65.841,65.160,81.891,99.922,113.133,107.632,111.145
,"    Visitantes Nacionales",72.316,76.803,66.631,87.079,104.485,101.354,90.685,85.993,85.140,68.176,73.565,60.331,59.514,63.605,62.744,79.491,97.201,110.145,105.321,108.853
,"    Visitantes Internacionales",10.766,9.388,6.816,6.806,8.723,5.391,4.217,7.041,6.321,5.715,5.175,2.704,2.376,2.236,2.416,2.400,2.721,2.988,2.311,2.292
,"Z.A. de Huandacareo",1.665,1.881,1.428,1.846,3.293,4.044,4.065,1.957,1.602,1.156,3.700,2.232,2.751,2.327,2.404,2.150,2.514,2.926,2.911,2.907
,"    Visitantes Nacionales",1.217,1.820,1.423,1.800,3.225,3.955,3.978,1.923,1.565,1.122,3.653,2.204,2.726,2.300,2.373,2.123,2.475,2.900,2.880,2.889
,"    Visitantes Internacionales",448,61,5,46,68,89,87,34,37,34,47,28,25,27,31,27,39,26,31,18
,"Z.A. de Ihuatzio",4.823,5.036,4.018,5.643,6.522,9.425,8.064,11.385,9.841,7.181,9.299,7.559,6.827,6.236,5.543,7.268,9.369,11.243,9.726,9.325
,"    Visitantes Nacionales",4.381,4.484,3.720,5.429,6.192,8.990,7.460,10.539,9.194,6.683,8.735,7.232,6.600,6.086,5.426,7.050,9.175,10.953,9.461,9.053
,"    Visitantes Internacionales",442,552,298,214,330,435,604,846,647,498,564,327,227,150,117,218,194,290,265,272
,"Z.A. de San Felipe los Alzati",1.787,2.066,2.851,2.972,3.723,2.363,1.853,2.950,4.279,4.555,5.632,7.682,5.796,6.023,6.152,8.979,11.363,12.287,9.734,11.491
,"    Visitantes Nacionales",1.771,2.034,2.838,2.737,3.507,2.281,1.786,2.914,4.278,4.539,5.632,7.682,5.793,6.023,6.144,8.943,11.322,12.240,9.499,11.466
,"    Visitantes Internacionales",16,32,13,235,216,82,67,36,1,16,0,0,3,0,8,36,41,47,235,25
,"Z.A. de Tingambato",8.059,9.934,6.755,9.943,18.434,26.030,25.126,18.951,15.999,16.821,18.493,15.454,16.362,15.446,15.144,19.426,21.753,23.848,23.153,22.458
,"    Visitantes Nacionales",7.773,9.613,6.427,9.533,18.148,25.748,24.796,18.474,15.603,16.513,18.176,15.289,16.167,15.234,14.965,19.199,21.437,23.539,22.839,22.222
,"    Visitantes Internacionales",286,321,328,410,286,282,330,477,396,308,317,165,195,212,179,227,316,309,314,236
,"Z.A. de Tres Cerritos",818,906,1.044,1.349,1.122,1.561,1.946,1.324,736,1.325,1.303,1.119,1.255,1.947,1.347,1.382,1.890,2.231,2.351,2.760
,"    Visitantes Nacionales",818,901,1.017,1.302,1.117,1.527,1.837,1.250,691,1.323,1.284,1.119,1.244,1.947,1.317,1.381,1.884,2.229,2.344,2.757
,"    Visitantes Internacionales",0,5,27,47,5,34,109,74,45,2,19,0,11,0,30,1,6,2,7,3
,"Z.A. de Tzintzuntzan con museo de sitio",65.930,66.368,57.351,72.132,80.114,63.322,53.848,56.467,59.004,42.853,40.313,28.989,28.899,33.862,34.570,42.686,53.033,60.598,59.757,62.204
,"    Visitantes Nacionales",56.356,57.951,51.206,66.278,72.296,58.853,50.828,50.893,53.809,37.996,36.085,26.805,26.984,32.015,32.519,40.795,50.908,58.284,58.298,60.466
,"    Visitantes Internacionales",9.574,8.417,6.145,5.854,7.818,4.469,3.020,5.574,5.195,4.857,4.228,2.184,1.915,1.847,2.051,1.891,2.125,2.314,1.459,1.738
,,,,,,,,,,,,,,,,,,,,,
"Morelos",,541.306,597.927,676.014,801.364,905.891,980.032,972.304,1.002.331,967.615,816.497,1.092.513,574.675,357.394,331.875,349.854,387.979,451.560,371.090,444.367,489.833
,"    Visitantes Nacionales",440.042,528.512,627.416,759.685,855.629,932.076,920.081,938.484,916.183,792.020,1.055.447,527.522,327.410,311.191,317.871,356.383,418.453,346.744,395.516,424.216
,"    Visitantes Internacionales",101.264,69.415,48.598,41.679,50.262,47.956,52.223,63.847,51.432,24.477,37.066,47.153,29.984,20.684,31.983,31.596,33.107,24.346,48.851,65.617
,"Z.A. de Chalcatzingo",13.489,11.205,19.038,20.985,13.560,19.139,17.771,19.686,15.395,14.605,16.264,19.017,15.231,17.877,15.477,18.343,20.558,18.084,21.646,23.384
,"    Visitantes Nacionales",12.854,10.389,16.993,19.672,13.286,18.808,17.552,19.438,15.148,14.372,16.075,18.703,15.003,17.585,15.184,18.163,20.352,17.817,21.414,23.150
,"    Visitantes Internacionales",635,816,2.045,1.313,274,331,219,248,247,233,189,314,228,292,293,180,206,267,232,234
,"Z.A. de Coatetelco con museo de sitio",3.975,4.124,3.726,3.819,4.690,4.038,4.468,4.495,2.949,2.365,1.725,1.780,2.006,1.975,2.597,3.236,1.834,1.570,586,809
,"    Visitantes Nacionales",3.879,4.003,3.656,3.744,4.645,4.000,4.413,4.443,2.905,2.350,1.705,1.761,2.003,1.961,2.569,3.213,1.818,1.567,578,808
,"    Visitantes Internacionales",96,121,70,75,45,38,55,52,44,15,20,19,3,14,28,23,16,3,8,1
,"Z.A. de Las Pilas",1.861,2.076,2.742,3.188,2.278,2.113,2.579,2.306,1.279,1.963,1.091,1.196,1.205,1.333,2.373,2.376,1.710,1.412,1.908,2.250
,"    Visitantes Nacionales",1.861,2.036,2.714,3.165,2.270,2.098,2.570,2.300,1.273,1.961,1.077,1.196,1.205,1.332,2.370,2.376,1.708,1.409,1.907,2.250
,"    Visitantes Internacionales",0,40,28,23,8,15,9,6,6,2,14,0,0,1,3,0,2,3,1,0
,"Z.A. de Olintepec",271,697,355,358,682,1.001,557,754,432,595,370,109,95,0,0,0,0,0,0,0
,"    Visitantes Nacionales",271,697,353,356,672,993,545,752,432,595,296,109,95,0,0,0,0,0,0,0
,"    Visitantes Internacionales",0,0,2,2,10,8,12,2,0,0,74,0,0,0,0,0,0,0,0,0
,"Z.A. de Teopanzolco",19.271,15.269,15.463,19.896,23.122,26.759,27.368,47.926,29.040,25.240,20.562,37.188,19.976,16.202,11.526,13.867,33.806,11.875,0,0
,"    Visitantes Nacionales",14.549,11.714,12.734,16.903,19.994,23.461,23.815,39.863,26.305,23.537,19.184,34.282,19.301,15.583,10.677,13.092,32.001,11.279,0,0
,"    Visitantes Internacionales",4.722,3.555,2.729,2.993,3.128,3.298,3.553,8.063,2.735,1.703,1.378,2.906,675,619,849,775,1.805,596,0,0
,"Z.A. de Tepozteco",113.932,119.064,131.529,139.681,160.115,154.378,157.137,162.487,173.110,166.389,154.620,170.796,179.541,182.547,224.827,259.433,280.752,248.591,319.288,370.458
,"    Visitantes Nacionales",106.591,112.139,119.866,131.273,149.030,144.132,143.592,143.543,155.484,156.120,132.849,139.634,163.064,170.457,205.350,238.021,258.891,231.842,280.089,313.704
,"    Visitantes Internacionales",7.341,6.925,11.663,8.408,11.085,10.246,13.545,18.944,17.626,10.269,21.771,31.162,16.477,12.090,19.477,21.412,21.861,16.749,39.199,56.754
,"Z.A. de Xochicalco con museo de sitio",386.590,443.016,500.840,610.930,697.737,769.139,759.214,761.575,742.581,601.736,894.810,342.466,137.160,109.844,91.127,87.924,109.968,87.046,97.866,90.859
,"    Visitantes Nacionales",298.191,385.125,468.808,582.175,662.084,735.314,724.463,725.082,711.850,589.534,881.254,329.750,124.565,102.176,79.820,78.720,100.755,80.334,88.471,82.272
,"    Visitantes Internacionales",88.399,57.891,32.032,28.755,35.653,33.825,34.751,36.493,30.731,12.202,13.556,12.716,12.595,7.668,11.307,9.204,9.213,6.712,9.395,8.587
,"Z.A. de Yautepec",1.917,2.476,2.321,2.507,3.707,3.465,3.210,3.102,2.829,3.604,3.071,2.123,2.180,2.097,1.927,2.800,2.932,2.512,3.073,2.073
,"    Visitantes Nacionales",1.846,2.409,2.292,2.397,3.648,3.270,3.131,3.063,2.786,3.551,3.007,2.087,2.174,2.097,1.901,2.798,2.928,2.496,3.057,2.032
,"    Visitantes Internacionales",71,67,29,110,59,195,79,39,43,53,64,36,6,0,26,2,4,16,16,41
,,,,,,,,,,,,,,,,,,,,,
"Nayarit",,17.114,17.506,22.431,19.930,19.124,20.758,23.629,16.089,15.132,14.751,14.474,14.819,13.222,12.280,12.279,9.328,13.696,12.314,14.089,14.805
,"    Visitantes Nacionales",13.456,15.322,19.528,17.699,17.280,18.953,21.739,14.476,13.881,14.604,14.182,14.293,13.087,12.124,12.073,9.110,13.457,12.041,13.763,14.569
,"    Visitantes Internacionales",3.658,2.184,2.903,2.231,1.844,1.805,1.890,1.613,1.251,147,292,526,135,156,206,218,239,273,326,236
,"Z.A. de Ixtlán del Río",17.114,17.506,22.431,19.930,19.124,20.758,23.629,16.089,15.132,14.751,14.474,14.819,13.222,12.280,12.279,9.328,13.696,12.314,14.089,14.805
,"    Visitantes Nacionales",13.456,15.322,19.528,17.699,17.280,18.953,21.739,14.476,13.881,14.604,14.182,14.293,13.087,12.124,12.073,9.110,13.457,12.041,13.763,14.569
,"    Visitantes Internacionales",3.658,2.184,2.903,2.231,1.844,1.805,1.890,1.613,1.251,147,292,526,135,156,206,218,239,273,326,236
,,,,,,,,,,,,,,,,,,,,,
"Nuevo Léon",,1.925,2.460,4.157,3.675,3.517,4.263,4.446,6.212,4.959,5.171,2.734,2.059,3.418,4.242,1.579,2.886,3.524,4.559,3.879,3.768
