"Estado","Zonas Arqueológicas",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"20191/"
,"Z.A. de El Tigre",3.041,7.340,4.435,4.417,4.514,5.729,3.846,4.070,2.766,4.355,4.402,5.293,4.385,3.709,3.324,3.344,3.417,3.791,3.599,4.067
,"    Visitantes Nacionales",3.014,7.160,4.399,4.397,4.491,5.681,3.643,4.009,2.729,4.286,4.370,5.228,4.350,3.674,3.291,3.322,3.388,3.700,3.531,3.986
,"    Visitantes Internacionales",27,180,36,20,23,48,203,61,37,69,32,65,35,35,33,22,29,91,68,81
,"Z.A. de Hochob",7.203,8.542,1.676,1.784,1.727,1.999,1.662,2.633,2.160,2.418,2.172,1.971,2.371,1.877,2.072,1.738,2.015,1.948,1.606,1.811
,"    Visitantes Nacionales",6.848,8.081,1.537,1.695,1.567,1.795,1.479,2.399,1.934,2.166,1.796,1.744,2.071,1.647,1.812,1.455,1.721,1.675,1.295,1.555
,"    Visitantes Internacionales",355,461,139,89,160,204,183,234,226,252,376,227,300,230,260,283,294,273,311,256
,"Z.A. de Hormiguero",1.788,1.370,1.069,918,833,933,941,789,670,856,1.287,1.392,1.305,1.199,553,888,2.454,2.333,2.816,2.785
,"    Visitantes Nacionales",1.533,1.036,820,692,629,710,640,538,517,666,1.042,1.022,924,866,366,653,1.993,1.595,2.067,1.901
,"    Visitantes Internacionales",255,334,249,226,204,223,301,251,153,190,245,370,381,333,187,235,461,738,749,884
,"Z.A. de Kankí",0,125,149,327,252,234,68,42,206,399,40,21,134,446,491,1.089,1.130,591,843,1.320
,"    Visitantes Nacionales",0,125,141,312,252,233,57,42,204,391,40,21,98,414,472,1.077,1.105,572,809,1.288
,"    Visitantes Internacionales",0,0,8,15,0,1,11,0,2,8,0,0,36,32,19,12,25,19,34,32
,"Z.A. de Nadzcaan",0,0,176,247,470,573,451,0,0,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Nacionales",0,0,172,213,414,552,404,0,0,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Internacionales",0,0,4,34,56,21,47,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Z.A. de Santa Rosa Xtampak",4.599,3.531,1.436,812,875,769,452,729,1.664,1.574,952,1.089,1.217,845,1.615,1.836,1.712,1.509,1.359,1.416
,"    Visitantes Nacionales",4.477,3.328,1.337,742,823,730,367,685,1.498,1.476,871,1.005,1.145,768,1.437,1.718,1.601,1.377,1.184,1.312
,"    Visitantes Internacionales",122,203,99,70,52,39,85,44,166,98,81,84,72,77,178,118,111,132,175,104
,"Z.A. de Tabasqueño",270,118,265,429,2.978,1.766,729,1.292,2.050,1.627,1.811,2.092,2.773,2.567,2.761,3.024,2.942,2.859,2.820,2.527
,"    Visitantes Nacionales",262,113,252,414,2.890,1.693,672,1.219,1.907,1.525,1.715,1.937,2.643,2.425,2.594,2.874,2.796,2.758,2.660,2.373
,"    Visitantes Internacionales",8,5,13,15,88,73,57,73,143,102,96,155,130,142,167,150,146,101,160,154
,"Z.A. de Tohcok",3.530,1.896,639,3.102,3.513,3.527,382,0,41,3.008,1.873,1.791,1.833,1.585,1.663,1.485,1.516,1.055,1.277,786
,"    Visitantes Nacionales",3.231,1.609,578,2.661,3.142,3.028,338,0,41,2.413,1.423,1.406,1.444,1.288,1.162,1.056,1.348,930,1.072,643
,"    Visitantes Internacionales",299,287,61,441,371,499,44,0,0,595,450,385,389,297,501,429,168,125,205,143
,"Z.A. de Xcalumkín",860,1.293,1.194,1.227,2.307,1.533,361,1.118,1.957,2.136,1.308,2.353,1.588,1.494,2.466,1.787,1.906,1.680,1.971,2.144
,"    Visitantes Nacionales",854,1.269,1.154,1.217,2.249,1.503,347,1.072,1.886,2.088,1.263,2.304,1.576,1.471,2.446,1.722,1.820,1.628,1.900,2.077
,"    Visitantes Internacionales",6,24,40,10,58,30,14,46,71,48,45,49,12,23,20,65,86,52,71,67
,"Z.A. de Xpuhil",9.287,10.027,7.237,7.952,10.179,6.919,5.582,7.410,8.869,8.172,7.727,10.106,10.733,8.819,8.274,8.886,9.380,9.407,9.788,10.045
,"    Visitantes Nacionales",6.604,7.000,5.253,6.191,7.916,4.687,3.693,4.283,4.528,5.274,4.947,6.632,7.036,5.501,5.634,6.321,6.885,6.599,6.953,6.830
,"    Visitantes Internacionales",2.683,3.027,1.984,1.761,2.263,2.232,1.889,3.127,4.341,2.898,2.780,3.474,3.697,3.318,2.640,2.565,2.495,2.808,2.835,3.215
,,,,,,,,,,,,,,,,,,,,,
"Chiapas",,486.109,467.085,476.037,629.460,605.241,657.166,723.827,851.158,1.011.699,797.743,630.107,875.581,826.545,843.701,1.111.860,1.278.690,988.614,1.214.285,1.116.762,1.162.128
,"    Visitantes Nacionales",285.913,291.149,302.051,374.794,351.187,364.673,414.202,490.683,681.746,557.867,417.199,676.870,668.532,708.126,958.176,1.090.506,837.847,987.086,871.562,902.820
,"    Visitantes Internacionales",200.196,175.936,173.986,254.666,254.054,292.493,309.625,360.475,329.953,239.876,212.908,198.711,158.013,135.575,153.684,188.184,150.767,227.199,245.200,259.308
,"Z.A de Lagartero",0,0,0,0,0,0,0,0,0,0,0,0,4.338,45.897,39.462,66.663,71.488,56.273,70.761,71.843
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,4.075,43.926,38.293,62.760,67.096,47.699,61.239,58.609
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,263,1.971,1.169,3.903,4.392,8.574,9.522,13.234
,"Z.A. de Bonampak",19.358,15.400,19.868,25.017,26.908,30.021,25.064,32.712,73.108,48.992,42.198,68.138,52.849,49.203,75.475,50.206,46.495,57.502,95.721,57.901
