0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,ciudad
0.0,197571261.78202847,547838467.7705972,218530675.56295228,198522804.73173246,192448254.85943842,378594815.00113654,218474229.33124304,198258927.2457306,215848510.65074632,214485585.73197868,109804852.57773466,196142219.8474799,226993168.86678323,187544246.31138206,110234434.5924606,217205388.7379316,101133659.0563759,191819707.80910048,179032957.19601008,191757630.77804103,228261222.8207647,215662151.74135974,162974291.81782353,111437965.19887497,224499107.86116818,225659472.15977237,207603793.5270104,186734501.1401973,172744166.76077613,205004420.37591448,223191123.23694155,182354705.58083263,224064947.63055173,203194835.40953618,228261217.62833357,207564591.5872772,152913078.9922635,193667450.49969703,218243659.92488235,Acapulco
197571261.7820285,0.0,661380107.435939,25586810.78478711,20705948.815636527,18239985.32228879,541846304.7703525,27082436.08269203,14470069.889452262,24790362.682994563,19383640.966307767,143047231.06969786,14446861.376072703,35169483.44278502,14841885.238138003,111386710.18436494,25375736.299736902,107360762.99519108,13539876.543515759,24642624.60003176,19390318.25922548,36636908.12670798,23075980.02144839,46128554.34163631,163895654.66566607,31503041.554233044,33252245.19617889,18769827.521481697,13295551.476374296,34283847.68863481,17259726.582386073,29976031.54703613,19071488.62001691,31177838.323721003,15311511.251458893,36636896.74160634,19472777.618407793,59036964.50548646,11483634.865110666,24078698.16059002,Aguascalientes
547838467.7705972,661380107.435939,0.0,672807073.3797997,652783574.0033367,658624964.9947747,479872366.3438703,670028381.5892977,658442669.8446237,668170577.508224,670727120.9140046,603284959.0897748,660815258.4522309,675508659.0107251,653671811.1768817,563803310.6414587,669874986.8418164,587094303.4065628,660655556.1702689,641319457.0379819,661602274.316518,676193220.3643751,668910413.4932241,637086298.8607903,507068746.3778558,675231801.8355559,674872518.2322869,663254493.3183744,652416951.6443769,636272369.2922677,663132796.8260258,674870774.4767098,648600283.42374,674511602.075645,661322784.7841419,676193219.0268009,664736902.066965,639090596.7701544,657666232.8215067,672197596.9500722,Cancún
218530675.5629523,25586810.78478711,672807073.3797997,0.0,24834978.84184491,38926111.635037415,564806823.7530572,10101599.389649278,21790270.33375799,10055044.241469622,7893656.898644219,164720258.74971014,25283974.059234813,11226006.586117826,35683652.70580623,128520230.79125766,4779380.341599402,126817306.18758722,30332927.767732587,42917624.9694517,40224322.069116786,12451428.572287222,12987779.408765066,68745067.30013794,180067256.6856255,7560651.85117981,10102078.056447592,12835678.598197721,33344316.17669987,49427518.53663727,14447720.985845713,6062931.065880597,41481783.230811685,7927084.135691383,16285705.168769017,12451455.722557768,21756660.26001592,81870119.70445772,30938723.742966723,6889835.922415903,Celaya
198522804.7317325,20705948.815636527,652783574.0033367,24834978.84184491,0.0,31108960.878402468,544564572.905048,22728491.522355847,11562551.75421493,19596807.714239463,21754088.568040732,149165817.43202505,21727774.43213356,30370542.41821171,22156571.29538071,107913389.29430477,21886736.197159022,106124099.46489859,25666206.694521632,23342788.458820485,36661197.695718855,31642385.542283773,21080924.077522673,53274400.24745245,158500323.82208186,28676349.349956598,29016099.38778521,14791574.279213598,19099927.659149617,27298818.03769677,14009759.184432369,27830624.26879983,26608111.738238554,27892065.164045803,12716286.770211617,31642396.06075234,21770049.940559167,68076409.9457104,21547279.0854089,23664566.4404764,Chihuahua
192448254.85943842,18239985.32228879,658624964.9947747,38926111.635037415,31108960.878402468,0.0,534053692.4913646,38445371.66969301,28590529.482329924,35634047.34382113,31995608.891205743,137010107.58001694,24697999.558075998,46918570.1450665,16099802.164699672,109209826.14216685,38618407.581718184,104770364.03330125,24119188.099355556,27532107.436156154,24258795.37801423,48346335.22713814,32806203.194502186,35818993.84744626,160488190.95124263,43793028.81390304,44501612.23837486,31824561.937561322,20593551.67276261,38290002.479353376,30074949.82662784,42567087.5216582,21906171.74504718,42919421.34799438,29492256.237983756,48346292.9337327,32739604.76084932,54665438.95105154,11668230.203261664,35561439.68689793,Ciudad Juárez
378594815.00113654,541846304.7703526,479872366.3438703,564806823.7530572,544564572.905048,534053692.4913646,0.0,562169719.1290201,544457224.4625018,561127439.7473015,559040940.9460118,422214745.5566153,545315702.5703076,572549698.6093354,531285821.6569716,452958267.7793961,563021676.4389335,456419709.8489096,539014340.6979803,523422129.3284368,531267896.91766363,573925515.0685453,559504658.3969195,501056652.7893051,420998157.8420354,569508888.4596679,570875707.2735195,555102157.1536089,533572393.35252804,520782939.80048853,552970348.1539432,568416321.5637298,524986708.9034703,569296771.2321639,550144335.4154315,573925188.7586987,548165476.726121,488766684.1420303,538674557.6790848,563064301.4577382,Ciudad de México
218474229.33124304,27082436.08269203,670028381.5892977,10101599.389649278,22728491.522355847,38445371.66969301,562169719.1290201,0.0,21459499.358478937,7267680.1068361495,10212095.865442332,163853435.71260667,28869210.838731118,11669857.811068794,34356303.07339881,126999428.39220601,8270826.920332201,126883370.09030603,33094825.41946914,41199961.94976763,41405845.34920435,12940658.23189568,10529724.447668398,66733206.71569691,178288373.28080583,8953030.022715723,9952568.994717706,15755561.484095639,33893040.07620305,47763773.82187925,16271578.494442644,8745068.991333207,41125094.87808108,9000283.711474504,17919792.10764336,12940678.452373717,18899963.467810974,80883084.74316652,30985574.450391185,8594077.091436548,Cuautla de Morelos
198258927.2457306,14470069.889452262,658442669.8446237,21790270.33375799,11562551.75421493,28590529.482329924,544457224.4625018,21459499.358478937,0.0,20111189.91708046,18190800.72010539,145750494.95681348,16703806.161073402,30210250.50788953,18219898.375133403,109495263.38316989,20331586.676117096,107001793.39314762,17201747.560053565,22800046.520887583,28309219.17856304,31587702.07103037,21326359.38291908,51341754.21129429,162417684.78717566,27117241.91047484,28826929.675855093,13798775.614954384,15452095.94898858,29331356.16086591,11685627.746079365,25762489.06002552,22771634.891099848,27050696.246119875,8361809.298581214,31587636.749688484,15743434.840578556,63204388.10311472,19441071.295956563,21926762.024171542,Cuernavaca
215848510.65074632,24790362.682994563,668170577.508224,10055044.241469622,19596807.714239463,35634047.34382113,561127439.7473015,7267680.1068361495,20111189.91708046,0.0,9031121.905731436,163581482.87304062,26068324.258682933,12668092.215635017,32408859.996673837,125161671.25889757,7187608.964007333,124264583.2318076,31779046.569508456,39399735.86381944,41261577.94622077,14050833.231821777,6249418.238935918,65172368.88234996,175969390.59621042,11077492.51696093,10699362.476225836,12201572.422770845,31230955.00406851,45355437.936222546,12525215.448687699,10638308.937495112,39197034.69293537,9591505.963374129,15653772.735076271,14050857.290191699,20599016.520603623,80321322.55545248,27643113.629915282,6515845.472703396,Culiacán
